.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,StockExchange,TwoHundreddayMovingAverage,Volume
Archer-Daniels-Midland Company,ADM,3424440,29.97,2.75,2540000000.0,2.86,0.68,3.08,2.16,44.58,25810000000.0,-0.008795074758135457,1.20,20.93,0.0010993843447670848,0.0139,0.0264,-0.055999999999999994,0.30820000000000003,1.52,15.80,14.68,0.42,3.78,1,44.04,3037707
"Automatic Data Processing, Inc.",ADP,2009710,8.50,2.22,2730000000.0,3.68,0.70,4.04,3.72,100.71,46910000000.0,-0.03910829249543568,2.45,28.08,-0.0011530700490053336,0.0377,0.10439999999999999,-0.002,0.23870000000000002,12.24,28.40,25.87,3.88,3.36,0,94.62,1216370
Alliance Data Systems Corporati,ADS,574788,28.79,0.86,1570000000.0,18.49,3.78,21.09,7.34,232.55,14090000000.0,0.022423546773796765,1.11,33.33,-0.002254652783471367,0.0519,0.10890000000000001,-0.0184,0.3222,8.47,13.23,11.60,1.97,5.39,1,220.60,778764
Ameren Corporation,AEE,1279330,29.28,3.21,2300000000.0,2.77,0.61,3.00,2.68,52.97,13320000000.0,-0.03465166908563133,3.40,20.48,0.00018142235123375094,0.0362,0.08349999999999999,-0.011200000000000002,0.1858,1.88,19.82,18.30,2.20,5.64,1,50.66,923271
American Electric Power Company,AEP,2356160,35.38,3.52,5440000000.0,3.65,0.89,3.88,1.24,64.15,32710000000.0,0.014586466165413592,9.80,53.56,0.001052631578947194,0.037000000000000005,0.051699999999999996,-0.0673,0.1491,1.88,18.22,17.14,2.00,2.17,1,63.25,2127375
Aetna Inc.,AET,3133930,50.84,1.55,6200000000.0,8.85,2.38,9.78,6.41,123.51,45960000000.0,0.08200138985406547,1.06,20.39,-0.0005404988031811886,0.0581,0.08779999999999999,-0.0426,0.2495,2.55,14.77,13.36,0.72,1.37,1,120.14,2093802
AFLAC Incorporated,AFL,2318620,50.47,2.36,4780000000.0,6.39,1.61,6.71,6.42,70.42,29010000000.0,-0.0026319434824767507,1.64,11.26,0.0011081867294640002,0.0263,0.018600000000000002,-0.029900000000000003,0.2183,1.43,11.31,10.77,1.27,3.06,1,70.95,1365517
Allergan plc Ordinary Shares,AGN,3924870,212.79,1.14,6100000000.0,16.04,4.09,17.78,38.18,232.78,82340000000.0,0.0970770738079687,1.12,6.43,-0.003633246244284849,0.0552,0.1045,-0.1788,0.33130000000000004,1.15,15.31,13.81,5.64,4.36,1,222.38,2357149
Apartment Investment and Manage,AIV,1051980,10.64,3.13,570960000.0,0.56,0.13,0.61,2.67,44.99,7130000000.0,0.03711023276240666,11.45,17.00,-0.0013175230566535578,0.0089,0.030899999999999997,-0.0526,0.1929,4.28,81.05,74.41,7.34,4.37,1,44.03,826853
"Assurant, Inc.",AIZ,409631,73.26,2.10,1040000000.0,6.25,1.60,7.22,9.13,96.78,5560000000.0,-0.020050125313283207,0.59,10.94,0.0015037593984963404,0.0319,0.1035,-0.0143,0.38770000000000004,1.36,15.98,13.83,0.74,5.16,1,90.50,332715
Arthur J. Gallagher & Co.,AJG,1036870,20.17,2.74,868800000.0,3.02,1.06,3.39,2.32,54.83,10160000000.0,0.03399084184572021,1.63,24.51,-0.002817893624515788,0.037000000000000005,0.106,-0.0166,0.4008,2.81,18.83,16.77,1.83,3.92,1,51.41,654217
"Akamai Technologies, Inc.",AKAM,1816630,18.64,0,788760000.0,2.79,0.67,3.17,1.79,66.14,10960000000.0,0.12556827088885392,1.59,35.40,-0.0037623451951717124,-0.042,0.020499999999999997,-0.11560000000000001,0.32549999999999996,3.42,22.71,19.99,4.72,4.65,0,62.09,1325819
Albemarle Corporation,ALB,938279,33.74,1.25,735810000.0,4.16,1.04,4.85,5.68,94.63,11790000000.0,0.05996506889190756,2.73,18.43,0.003299049097613027,0.1072,0.21030000000000001,-0.0040999999999999995,0.8089,3.05,25.19,21.60,4.33,2.82,1,86.57,1153370
"Alaska Air Group, Inc.",ALK,1282020,23.77,1.20,1830000000.0,8.02,2.42,8.71,6.54,95.73,12200000000.0,0.12121212121212133,1.17,15.13,0.001971772519717696,0.0335,0.2241,-0.0245,0.8151,4.05,12.34,11.36,2.00,5.94,1,80.83,1535932
Allstate Corporation (The),ALL,1919820,51.44,1.64,3460000000.0,6.22,1.22,6.87,4.67,78.02,29890000000.0,0.025932721712538243,0.94,17.53,0.000978593272171313,0.0492,0.136,-0.0143,0.2845,1.59,13.16,11.92,0.82,2.65,1,72.06,2331472
Allegion plc Ordinary Shares,ALLE,778688,1.19,0.87,478900000.0,3.69,1.00,4.10,2.36,69.44,7050000000.0,0.08166576527852909,1.54,31.28,0.0012168739859383937,0.06309999999999999,0.0885,-0.015700000000000002,0.2009,62.20,20.01,18.00,3.16,3.35,1,67.82,961997
"Alexion Pharmaceuticals, Inc.",ALXN,2802950,38.81,0,1170000000.0,5.23,1.29,6.71,1.76,130.64,30320000000.0,0.2170904167293517,1.36,76.70,-0.004061982849405732,0.0333,0.0647,-0.16670000000000001,0.2371,3.43,25.81,20.12,9.68,1.82,0,126.79,1692814
"Applied Materials, Inc.",AMAT,9406040,7.12,1.10,2990000000.0,2.65,0.66,2.82,1.94,35.17,39810000000.0,0.11044121677171836,0.64,18.97,-0.0013702384214854257,0.0482,0.16940000000000002,-0.0022,0.9654,5.13,13.91,13.07,3.33,1.32,0,31.53,7257496
"AMETEK, Inc.",AME,1867420,14.20,0.67,1010000000.0,2.44,0.62,2.67,2.19,52.73,12590000000.0,0.07989031078610598,2.10,25.05,0.001096892138939598,0.04019999999999999,0.11800000000000001,-0.011399999999999999,0.2673,3.85,22.48,20.54,3.27,3.91,1,49.06,1913179
"Affiliated Managers Group, Inc.",AMG,601220,63.84,0.47,832500000.0,14.74,3.34,16.46,8.57,158.27,9570000000.0,0.15564803804994054,0.81,19.70,0.0019024970273484598,0.0662,0.14029999999999998,-0.0617,0.2933,2.63,11.45,10.25,4.35,2.03,1,147.99,443275
Amgen Inc.,AMGN,3568100,40.47,2.61,12000000000.0,12.35,3.11,12.81,10.24,165.15,132710000000.00002,0.04526309878137802,2.12,17.60,0.0021901499410346137,0.0911,0.1303,-0.0018,0.34840000000000004,4.40,14.59,14.07,5.70,1.58,0,159.43,2900888
"Ameriprise Financial, Inc.",AMP,1136520,40.66,2.23,2770000000.0,10.58,2.59,11.99,7.81,122.26,20500000000.0,0.05471124620060808,0.84,17.04,0.0009118541033434902,0.08839999999999999,0.2242,-0.0158,0.5669,3.24,12.58,11.10,1.73,1.72,1,108.69,1129811
American Tower Corporation (REI,AMT,2176860,15.88,2.02,3380000000.0,2.70,0.65,3.37,1.98,107.15,49280000000.0,0.1410155909763957,1.69,58.42,-0.0020033098162181018,0.0795,0.060700000000000004,-0.0219,0.2346,7.23,42.84,34.32,8.45,3.14,1,109.05,1395693
"Amazon.com, Inc.",AMZN,3517880,40.43,0,11670000000.0,7.32,1.87,12.71,4.90,832.01,405540000000.0,0.10539397580426679,3.07,173.44,-0.0020143478107218504,0.0215,0.0692,-0.0128,0.578,21.00,116.10,66.87,2.98,1.61,0,794.84,1951575
"AutoNation, Inc.",AN,979131,22.95,0,970700000.0,4.03,1.03,4.47,4.15,49.37,4620000000.0,0.09819121447028434,1.05,11.05,-0.006244616709732975,-0.0718,-0.0417,-0.15380000000000002,0.16649999999999998,2.02,11.37,10.25,0.22,7.76,1,47.81,814140
"Anthem, Inc.",ANTM,1609480,95.17,1.58,5780000000.0,11.58,3.37,12.81,9.21,158.31,43890000000.0,0.06121588238838349,1.21,18.02,-0.0007230222329337455,0.048600000000000004,0.1962,-0.0189,0.4454,1.74,14.34,12.96,0.52,4.29,1,138.77,992400
Aon plc Class A Ordinary Shares,AON,1003010,20.90,1.12,2390000000.0,6.46,1.40,7.90,5.16,114.52,30590000000.0,0.05469689163661351,2.28,22.57,-0.0007727975270478415,0.0171,0.0388,-0.012,0.1932,5.57,18.03,14.74,2.64,1.85,1,112.13,762400
"Air Products and Chemicals, Inc",APD,1383650,32.91,2.71,3130000000.0,6.16,1.64,6.79,2.60,142.08,30360000000.0,0.06743970975314806,-76.07,53.72,-0.0016361954897914366,-0.018000000000000002,-0.0101,-0.0726,0.1431,4.27,22.65,20.55,3.21,1.73,1,140.95,923872
Amphenol Corporation,APH,1180570,11.92,0.90,1460000000.0,2.91,0.71,3.14,2.61,68.51,21680000000.0,-0.005533484676503941,3.44,27.00,-0.0009931895573213056,0.0286,0.0645,-0.0075,0.2843,5.91,24.22,22.44,3.45,3.69,1,66.20,910627
"Activision Blizzard, Inc",ATVI,8424080,12.26,0.66,2290000000.0,1.95,0.32,2.36,1.28,42.29,35020000000.0,0.08461868037703524,1.48,36.77,-0.0027849185946873245,0.11289999999999999,0.1461,-0.011899999999999999,0.5499,3.81,24.14,19.94,5.26,2.66,0,41.07,5057702
"AvalonBay Communities, Inc.",AVB,727062,74.07,3.10,1320000000.0,4.54,1.12,4.74,7.52,177.66,24880000000.0,0.034456355283307705,8.51,24.09,-0.004594180704441064,0.019799999999999998,0.046,-0.057800000000000004,0.14429999999999998,2.47,39.91,38.22,12.24,6.66,1,173.21,420357
Avery Dennison Corporation,AVY,747585,10.48,2.03,740300000.0,4.43,1.20,4.86,3.54,77.58,7200000000.0,0.03950103950103956,1.76,23.10,-0.0006114711997065037,0.053899999999999997,0.0908,-0.0043,0.2188,7.80,18.46,16.82,1.18,5.04,1,74.95,590361
"American Water Works Company, I",AWK,986782,29.30,1.92,1620000000.0,3.05,0.81,3.28,2.62,73.53,13780000000.0,0.014902363823227072,3.45,29.52,0.0005138746145938455,0.0519,0.0547,-0.09269999999999999,0.154,2.66,25.36,23.58,4.20,4.58,1,73.33,914703
American Express Company,AXP,4133290,22.68,1.60,0.00,5.66,1.43,6.26,5.65,78.28,71990000000.0,0.011235955056179803,2.17,14.14,0.0021223470661673183,0.0204,0.1282,-0.0259,0.39770000000000005,3.53,14.11,12.76,2.41,3.10,1,70.80,4597534
Acuity Brands Inc (Holding Comp,AYI,747549,39.50,0.24,586200000.0,8.75,2.22,10.41,6.92,211.65,9180000000.0,0.10602308303350316,0.98,30.28,-0.00014018036540353052,-0.0098,-0.1267,-0.2539,0.0855,5.42,23.95,20.13,2.75,3.36,1,239.96,1014877
Boeing Company (The),BA,3498420,1.32,3.09,8680000000.0,9.30,2.33,10.13,7.61,168.28,111580000000.0,-0.04858188972074984,1.50,23.94,0.0002732389748072439,0.08259999999999999,0.2248,-0.019,0.511,138.21,19.59,17.98,1.19,3.69,1,148.74,3940363
Bank of America Corporation,BAC,102209000,24.04,1.22,0.00,1.73,0.46,2.09,1.50,23.61,267540000000.00003,-0.008719778042013404,1.35,16.99,0.002774474831549689,0.07730000000000001,0.2942,-0.013999999999999999,1.1112,1.05,14.71,12.17,3.31,1.10,1,19.66,92681401
Baxter International Inc.,BAX,2901960,15.36,1.02,1970000000.0,2.17,0.52,2.45,9.01,48.49,27500000000.0,0.048059877880638036,1.67,5.65,0.0007878668505021391,0.05,0.0843,-0.0095,0.3034,3.30,23.46,20.78,2.70,3.12,1,46.95,2582540
Bed Bath & Beyond Inc.,BBBY,2505030,17.82,1.24,1500000000.0,4.52,0.76,4.62,4.71,40.51,5910000000.0,0.0312730854469343,1.49,8.54,0.0014774686037921647,-0.0066,-0.0594,-0.2366,0.0424,2.28,8.90,8.71,0.49,5.93,0,42.78,1547503
BB&T Corporation,BBT,4503360,33.14,2.41,0.00,3.09,0.78,3.47,2.77,47.04,39320000000.0,-0.0020593080724876645,2.97,17.56,-0.0006177924217463104,0.034,0.1367,-0.024900000000000002,0.5096,1.47,15.74,14.02,3.84,2.81,1,42.79,4560812
"Best Buy Co., Inc.",BBY,4930400,13.61,2.54,2480000000.0,3.63,0.59,3.87,3.35,44.53,14010000000.0,0.03277591973244154,1.13,13.33,-0.0022296544035674826,0.0028000000000000004,0.067,-0.0962,0.5525,3.29,12.30,11.54,0.36,7.75,1,41.84,6450007
"C.R. Bard, Inc.",BCR,575005,22.98,0.42,1150000000.0,11.64,2.87,12.84,7.03,238.68,17700000000.0,0.012377242106971886,1.87,34.96,-0.004179855531206922,0.0298,0.0956,-0.0097,0.2816,10.72,21.12,19.14,4.78,1.47,1,224.34,340408
"Becton, Dickinson and Company",BDX,959848,35.63,1.58,3260000000.0,9.43,2.47,10.40,6.01,178.07,39310000000.0,0.025659069994045325,1.93,30.74,-0.0029773182482540905,0.037200000000000004,0.06509999999999999,-0.0076,0.2669,5.18,19.59,17.76,3.17,3.20,1,173.40,606571
"Franklin Resources, Inc.",BEN,2453720,21.15,1.84,2320000000.0,2.68,0.64,2.68,2.97,41.31,24130000000.0,-0.0778736302168338,-2.97,14.38,0.0027978549778502337,0.0331,0.1174,-0.0322,0.39659999999999995,2.03,15.93,15.93,3.78,4.06,1,38.20,2712504
Biogen Inc.,BIIB,1781340,56.23,0,6370000000.0,20.99,5.19,22.47,16.93,280.77,64319999999.99999,0.10013965053305651,2.22,17.59,-0.0016008719643038072,0.060899999999999996,0.0084,-0.1073,0.33549999999999996,5.22,14.19,13.26,5.54,1.12,0,295.37,1170895
Bank of New York Mellon Corpora,BK,5780270,33.67,1.57,0.00,3.46,0.85,3.89,3.15,46.11,50230000000.0,0.07543238174619704,1.24,15.22,-0.0033340279224839398,0.04,0.0793,-0.0321,0.353,1.43,13.86,12.33,3.30,1.51,1,44.43,6140887
"BlackRock, Inc.",BLK,641303,176.40,2.58,4870000000.0,21.41,5.30,24.32,19.04,382.90,63640000000.0,0.08724626579854466,1.58,20.49,0.0009702540533640391,0.019,0.0489,-0.0233,0.2318,2.22,18.22,16.04,5.73,2.72,1,371.98,340929
Ball Corporation,BLL,1258130,20.04,0.69,1280000000.0,4.23,1.13,5.03,1.39,74.63,12900000000.0,0.15012965743141815,1.93,53.10,0.0010918520540466048,-0.0109,-0.0432,-0.1025,0.1114,3.66,17.45,14.67,1.40,9.64,1,77.14,1352639
Bristol-Myers Squibb Company,BMY,12630600,9.68,2.73,6700000000.0,2.82,0.69,3.09,2.65,52.92,95780000000.0,-0.026204713330988394,1.39,21.61,-0.002110446711220515,0.0821,0.040999999999999995,-0.2575,0.2445,5.88,20.30,18.53,4.90,0.79,1,55.01,9657427
Boston Scientific Corporation,BSX,8630030,4.94,0,2200000000.0,1.25,0.31,1.42,0.25,24.60,34060000000.000004,0.12280000000000002,1.61,99.92,0.0036000000000000476,0.015300000000000001,0.08449999999999999,-0.026099999999999998,0.4583,5.06,19.98,17.59,4.06,2.20,1,23.03,6655813
BorgWarner Inc.,BWA,2064990,15.16,1.33,807600000.0,3.41,0.87,3.72,0.55,41.20,9140000000.0,-0.013444598980064892,1.66,78.11,-0.00023180343069073572,0.042699999999999995,0.14550000000000002,-0.0108,0.561,2.85,12.60,11.55,1.01,6.67,1,37.50,2013055
"Boston Properties, Inc.",BXP,792290,36.31,2.18,1510000000.0,2.32,0.64,2.79,3.25,133.39,20840000000.0,0.0164502803186779,7.30,41.69,-0.0026556506344055375,0.015600000000000001,0.039,-0.0593,0.1917,3.73,58.40,48.56,8.15,3.25,1,130.40,812285
"Citigroup, Inc.",C,19801600,74.26,1.04,0.00,5.18,1.30,5.90,4.72,58.39,169010000000.0,0.05673758865248213,1.63,12.92,-0.003958436417615063,0.0447,0.1352,-0.0152,0.5922999999999999,0.82,11.78,10.34,2.66,0.96,1,53.74,15188780
CA Inc.,CA,2563080,13.49,3.11,1280000000.0,2.44,0.60,2.46,1.89,32.02,13580000000.0,0.005209929512718148,22.28,17.22,-0.004903463070793812,0.0143,0.0036,-0.0717,0.11539999999999999,2.42,13.31,13.20,3.38,4.72,0,32.36,1723337
"ConAgra Brands, Inc.",CAG,3104650,10.22,1.94,1830000000.0,1.70,0.39,1.88,1.42,39.69,17910000000.0,0.015096177258339338,1.87,29.02,-0.0012174336498660399,0.0369,0.09789999999999999,-0.0127,0.2439,4.02,24.21,21.89,1.59,1.44,1,37.48,2872236
"Cardinal Health, Inc.",CAH,2365540,17.91,2.19,3070000000.0,5.44,1.37,5.97,4.15,77.70,26140000000.0,0.00586868810368002,1.63,19.95,0.005501895097200116,0.0663,0.0986,-0.056900000000000006,0.3214,4.57,15.23,13.88,0.20,4.76,1,75.41,1888965
D/B/A Chubb Limited New,CB,1408260,103.60,2.00,5730000000.0,10.39,2.54,10.94,8.87,133.81,64610000000.0,0.02644508670520218,2.74,15.63,-0.00036127167630062296,0.0362,0.0756,-0.013600000000000001,0.2004,1.34,13.34,12.67,2.05,3.76,1,128.90,1240892
CBRE Group Inc  Class A,CBG,2220640,8.95,0,1150000000.0,2.40,0.53,2.57,1.69,32.81,12270000000.0,0.017042330951071882,1.41,21.56,-0.0019241341396372125,0.1103,0.21280000000000002,-0.0044,0.511,4.07,15.18,14.18,0.94,4.54,1,30.04,1508283
CBS Corporation Class B,CBS,3990890,8.95,1.07,3100000000.0,4.43,1.02,5.12,2.81,64.86,27950000000.0,0.08041697691734906,0.94,24.28,-0.0025316455696202667,0.0521,0.15289999999999998,-0.0037,0.3961,7.50,15.40,13.33,2.09,0.00,1,59.19,6604539
Crown Castle International Corp,CCI,1960040,20.96,4.09,2069999999.9999998,1.16,0.27,1.50,0.95,88.91,33080000000.0,0.09472434998381707,3.78,96.58,-0.0025892760815621196,0.0319,0.0265,-0.10769999999999999,0.1558,4.42,79.09,61.17,8.52,2.87,1,89.39,2546492
Carnival Corporation,CCL,3225370,31.12,2.50,4760000000.0,3.58,0.46,4.12,3.72,55.45,40450000000.0,0.030758352483648554,1.29,14.98,-0.0054799363620293695,0.0049,0.0968,-0.0358,0.29760000000000003,1.82,15.56,13.52,2.51,6.24,1,50.80,3252961
Celgene Corporation,CELG,4277250,8.48,0,4010000000.0,7.22,1.76,8.76,2.49,117.08,96200000000.0,0.15076897905759168,0.76,49.66,-0.0013089005235601414,0.0562,0.0998,-0.0263,0.31010000000000004,14.42,17.13,14.12,8.47,1.51,0,112.44,3229181
Cerner Corporation,CERN,2829740,11.92,0,1320000000.0,2.50,0.62,2.76,1.85,53.70,18380000000.0,0.026633075400395834,1.56,30.13,-0.00035990642432970343,0.038,0.0043,-0.17420000000000002,0.1857,4.66,22.30,20.20,3.89,6.26,0,55.50,1927400
"Citizens Financial Group, Inc.",CFG,5012940,38.09,1.41,0.00,2.27,0.56,2.66,1.97,36.85,19500000000.0,-0.00446780551905368,1.03,19.45,0.004993429697766283,0.0397,0.2443,-0.0362,1.0889,1.00,16.88,14.40,3.97,1.60,1,30.79,4489447
"Church & Dwight Company, Inc.",CHD,2082410,7.79,1.44,836700000.0,1.90,0.42,2.04,1.75,47.33,12690000000.0,-0.035863717872085976,3.40,28.49,-0.002590157401872739,0.053200000000000004,0.0682,-0.0713,0.17129999999999998,6.44,26.24,24.44,3.66,4.96,1,46.67,1265636
"C.H. Robinson Worldwide, Inc.",CHRW,1315690,8.88,2.23,912200000.0,3.68,0.98,3.94,3.59,76.78,11300000000.0,-0.056252328324847944,3.01,22.22,-0.00012417732522052027,0.038900000000000004,0.0962,-0.0171,0.21660000000000001,9.07,21.68,20.25,0.87,13.39,0,72.77,1049825
"Charter Communications, Inc.",CHTR,1605840,149.27,0,10730000000.0,0.60,1.24,8.76,15.95,320.61,86670000000.0,-0.9984565519370273,18.21,20.21,-0.0011730205278591699,0.0053,0.1418,-0.0562,0.7642,2.17,60.70,36.79,3.00,3.84,0,282.29,1130975
Cigna Corporation,CI,1320210,53.42,0.03,3850000000.0,9.50,2.45,10.89,7.19,147.09,39070000000.0,0.09183269560628049,1.25,21.14,-0.004552051721863237,0.0333,0.12369999999999999,-0.006500000000000001,0.32130000000000003,2.84,16.00,13.96,0.98,0.92,1,135.26,749119
Cincinnati Financial Corporatio,CINF,562615,42.947,2.660,913000000.0,3.070,0.610,3.220,3.550,71.563,12180000000.0,-0.009421265141319024,-4.030,20.835,-0.0028263795423956184,0.03357,-0.00182,-0.07078999999999999,0.16352,1.730,24.093,22.970,2.246,6.240,0,74.100,584729
Clorox Company (The),CLX,978292,2.11,2.33,1220000000.0,5.33,1.50,5.73,4.99,127.11,17560000000.0,-0.06972343522561875,3.70,27.47,-0.0015283842794759916,0.07719999999999999,0.1161,-0.0253,0.2309,65.24,25.69,23.90,3.00,5.97,1,122.68,681932
Comerica Incorporated,CMA,1921220,44.47,1.23,0.00,3.99,0.96,4.71,2.68,69.75,12920000000.0,-0.017761255679471177,0.85,27.41,0.0009637890678784178,0.053200000000000004,0.2432,-0.020499999999999997,1.0646,1.63,18.41,15.60,4.91,2.67,1,59.09,2006199
Comcast Corporation,CMCSA,18000000,11.38,1.68,26480000000.0,1.88,0.47,2.16,1.78,37.40,176500000000.0,0.1161548731642188,1.70,20.85,0.0002670226969292422,-0.0049,0.0815,-0.0316,0.2823,3.29,19.80,17.23,2.21,2.95,0,34.41,11069227
CME Group Inc.,CME,1571900,60.17,2.17,2430000000.0,4.82,1.23,5.29,4.53,120.33,41940000000.0,0.034690920798454705,3.08,27.38,0.0008048937540245937,0.030899999999999997,0.1002,-0.0278,0.39380000000000004,2.06,25.74,23.45,11.68,5.43,0,112.76,1096888
"Chipotle Mexican Grill, Inc.",CMG,1021520,48.67,0,204810000.0,8.18,2.41,11.79,0.77,415.83,11970000000.0,-0.04002017824113002,0.36,540.38,-0.002185976122414668,0.0006,0.029300000000000003,-0.233,0.1789,8.55,50.87,35.29,3.07,5.24,1,404.26,538769
Cummins Inc.,CMI,1401260,41.04,2.68,2310000000.0,7.98,2.19,9.32,8.23,147.84,25450000000.0,-0.016043489790506626,-46.68,18.46,0.0034473614425882815,0.0277,0.12619999999999998,-0.0177,0.5301,3.67,18.80,16.30,1.44,2.76,1,134.91,913299
CMS Energy Corporation,CMS,1788560,15.23,3.01,2000000000.0,2.17,0.38,2.33,1.98,42.92,12380000000.0,0.012578616352201255,2.70,22.37,0.0,0.0322,0.058499999999999996,-0.042199999999999994,0.1423,2.92,20.41,19.01,1.95,2.76,1,41.85,1642368
Centene Corporation,CNC,1723270,34.29,0,1970000000.0,4.69,1.24,5.28,3.43,66.97,12210000000.0,0.10541830432341381,0.98,20.70,-0.002667040988208802,0.059800000000000006,0.12210000000000001,-0.060899999999999996,0.4194,2.08,15.13,13.44,0.33,2.87,1,63.25,1768288
Capital One Financial Corporati,COF,2718680,98.96,1.66,0.00,7.90,1.96,8.87,6.89,89.82,45110000000.0,0.05046114703699778,1.39,13.63,-0.0014841513834411568,0.045899999999999996,0.1606,-0.030699999999999998,0.6188,0.95,11.89,10.59,2.38,4.60,1,80.94,2541665
"Coach, Inc.",COH,3442180,10.02,3.52,898900000.0,2.14,0.50,2.34,1.82,37.18,10680000000.0,0.11839708561020035,1.81,20.89,0.0031225604996096834,0.024,0.0327,-0.129,0.1174,3.84,17.79,16.27,2.37,2.25,1,36.86,2482295
"Rockwell Collins, Inc.",COL,1141850,16.85,1.38,1220000000.0,5.40,1.38,5.80,5.59,92.23,12690000000.0,0.022379632481264844,2.70,17.33,-0.000821270916743666,0.051399999999999994,0.0974,-0.011699999999999999,0.2347,5.78,17.96,16.72,2.41,5.19,1,88.36,948414
"Cooper Companies, Inc. (The)",COO,502356,55.34,0.03,610150000.0,9.21,2.52,10.35,5.59,189.10,9490000000.0,-0.010241622750323032,1.68,34.79,-0.009247290444466483,0.028399999999999998,0.0761,-0.0365,0.3726,3.63,21.11,18.79,4.99,3.94,1,180.71,1191686
Costco Wholesale Corporation,COST,2375390,27.25,1.01,5030000000.0,5.91,2.02,6.57,5.48,169.60,74780000000.0,0.004663445330936211,2.90,31.07,-0.04090347230025848,0.0039000000000000003,0.07429999999999999,-0.0473,0.22870000000000001,6.53,28.81,25.91,0.65,3.75,0,158.48,10399047
