.Name,.Symbol,AverageDailyVolume,BookValue,DaysRange,DaysVolume,DividendYield,EBITDA,EPS,EPSYearGrowthEstimate,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromTwoHundreddayMovingAverage,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,Sector-Consumer Discretionary,Sector-Consumer Staples,Sector-Energy,Sector-Financials,Sector-Health Care,Sector-Industrials,Sector-Information Technology,Sector-Materials,Sector-Real Estate,Sector-Telecommunication Services,Sector-Utilities,ShortRatio,TwoHundreddayMovingAverage
"Anthem, Inc. Common Stock",ANTM,1712850,95.17,0.027135497783634846,966361,1.58,5780000000,9.21,0.10276338514680483,43980000000,0.06199832275068884,1.29,18.06,0.018329938900203624,0.1265,1.75,14.37,13.03,0.52,0,0,0,0,1,0,0,0,0,0,0,4.07,147.69
Aon plc Class A Ordinary Shares,AON,1019790,20.90,0.007307853842923061,832704,1.12,2390000000,5.16,0.24405705229793972,31210000000,0.041579168416631784,2.09,23.03,-0.005291894162116728,0.043899999999999995,5.70,18.84,15.14,2.69,0,0,0,1,0,0,0,0,0,0,0,1.72,113.86
"Air Products and Chemicals, Inc",APD,1480650,32.91,0.00956867363462396,701020,2.83,3130000000,2.60,0.10372771474878428,29430000000,0.10444575298100989,-72.57,52.09,-0.0060356249079936974,-0.034,4.13,21.92,19.86,3.10,0,0,0,0,0,0,0,1,0,0,0,2.79,140.04
Amphenol Corporation Common Sto,APH,1208940,11.92,0.008773191428160498,1214876,0.93,1460000000,2.61,0.08591065292096212,21520000000,0.029483676111031087,3.35,26.80,-0.0008629368617862898,0.0282,5.83,24.04,22.14,3.40,0,0,0,0,0,0,1,0,0,0,0,3.90,68.04
"Activision Blizzard, Inc",ATVI,8007930,12.23,0.01762295081967212,3751327,0.60,2140000000,1.28,0.2153846153846155,36970000000,0.056967213114754056,1.54,38.41,-0.0036885245901638886,0.1564,3.99,25.22,20.75,5.55,0,0,0,0,0,0,1,0,0,0,0,2.58,42.52
"AvalonBay Communities, Inc. Com",AVB,678232,74.07,0.008209310947513433,553637,3.09,1320000000,7.52,0.053097345132743445,25910000000,0.006567448758010741,8.72,25.08,-0.0015359355966314547,0.0783,2.55,41.73,39.63,12.64,0,0,0,0,0,0,0,0,1,0,0,7.61,174.95
Avery Dennison Corporation Comm,AVY,728068,10.48,0.009341138373396438,618730,2.06,740300000,3.54,0.09684684684684686,7120000000,0.07286087931249208,1.85,22.81,-0.00211732469796988,0.0689,7.66,18.18,16.58,1.16,0,0,0,0,0,0,0,1,0,0,0,5.54,75.53
"American Water Works Company, I",AWK,899581,29.30,0.007832238504295156,660760,1.91,1620000000,2.62,0.07540983606557372,14170000000,0.019075290550783386,3.48,30.34,0.000757958564931771,0.0784,2.70,26.07,24.24,4.27,0,0,0,0,0,0,0,0,0,0,1,4.90,73.72
American Express Company Common,AXP,3996210,22.68,0.012521194730663803,3845877,1.69,0.00,5.65,0.11367673179396087,68310000000,0.06430155210643007,2.06,13.41,-0.0028694404591104172,0.024700000000000003,3.38,13.46,12.09,2.31,0,0,0,1,0,0,0,0,0,0,0,3.84,73.96
Acuity Brands Inc (Holding Comp,AYI,844323,41.21,0.016393442622950845,478037,0.30,582300000,6.96,0.14518147684605753,7650000000,0.14240018278402933,1.08,25.10,-0.001942080310732841,-0.2167,4.25,21.86,19.09,2.23,0,0,0,0,0,1,0,0,0,0,0,6.01,223.02
Boeing Company (The) Common Sto,BA,3353740,1.32,0.015920008937548843,2960165,3.23,8680000000,7.61,0.09508547008547019,108930000000,-0.0073176181432241805,1.28,23.37,-0.0024019662607530634,0.1153,135.21,19.00,17.35,1.16,0,0,0,0,0,1,0,0,0,0,0,3.26,159.46
Bank of America Corporation Com,BAC,95791400,24.04,0.03375712406839104,146488440,1.34,0.00,1.50,0.21142857142857152,238830000000,0.11573871109162659,1.18,15.17,0.013152126260412178,0.0513,0.95,12.98,10.71,2.99,0,0,0,1,0,0,0,0,0,0,0,1.19,21.60
Baxter International Inc. Commo,BAX,2900750,15.36,0.011927300265051032,2933651,0.98,1970000000,9.01,0.12903225806451624,28480000000,0.015524422567209317,1.70,5.85,-0.002082544490723204,0.09609999999999999,3.44,24.30,21.52,2.81,0,0,0,0,1,0,0,0,0,0,0,2.80,48.11
Bed Bath & Beyond Inc.,BBBY,2320920,18.77,0.017174082747853335,1650477,1.56,1430000000,4.58,-0.03547671840354771,5560000000,0.025240697371844867,1.40,8.39,-0.0036429872495445936,-0.0748,2.05,8.89,8.83,0.46,1,0,0,0,0,0,0,0,0,0,0,6.11,41.53
BB&T Corporation Common Stock,BBT,4581870,33.14,0.017844727694090456,5436224,2.82,0.00,2.77,0.12580645161290316,34410000000,0.12305909617612976,2.60,15.37,-0.008806488991888628,-0.0431,1.30,13.73,12.20,3.41,0,0,0,1,0,0,0,0,0,0,0,3.09,44.49
"Best Buy Co., Inc. Common Stock",BBY,4508150,15.14,0.02377998345740293,2945975,2.44,2580000000,3.81,0.0625,15000000000,-0.02295285359801491,1.20,12.75,0.0,0.1036,3.20,13.18,12.41,0.38,1,0,0,0,0,0,0,0,0,0,0,6.77,43.97
"C.R. Bard, Inc. Common Stock",BCR,525482,22.98,0.009391913403374776,355407,0.42,1150000000,7.03,0.10481099656357373,17980000000,0.0007163323782235498,1.88,35.50,-0.003701050620821378,0.0816,10.94,21.44,19.41,4.87,0,0,0,0,1,0,0,0,0,0,0,3.21,230.74
"Becton, Dickinson and Company C",BDX,870482,35.63,0.009241139378125617,543967,1.60,3260000000,6.01,0.10158730158730167,39030000000,0.028158295281582868,1.90,30.52,-0.00353337682104804,0.0472,5.16,19.41,17.62,3.15,0,0,0,0,1,0,0,0,0,0,0,4.24,175.11
"Franklin Resources, Inc.",BEN,2333090,21.15,0.018612521150592122,2355991,1.97,2320000000,2.97,-0.0036363636363635488,23540000000,-0.004592700024172003,-3.57,14.03,-0.005801305293690939,0.0525,1.96,15.14,15.20,3.64,0,0,0,1,0,0,0,0,0,0,0,3.77,39.56
Biogen Inc.,BIIB,1668470,56.23,0.019923371647509503,1379501,0,6370000000,16.93,0.06342393896041965,58560000000,0.14541142127349005,1.96,16.02,-0.00043787629994529453,-0.058899999999999994,4.87,12.95,12.16,5.17,0,0,0,0,1,0,0,0,0,0,0,1.91,288.13
Bank of New York Mellon Corpora,BK,5108970,33.67,0.012327311370882004,4593636,1.64,0.00,3.15,0.1206896551724137,48650000000,0.10159404888416579,1.19,14.89,-0.0048884165781083455,0.020099999999999996,1.40,13.47,12.02,3.20,0,0,0,1,0,0,0,0,0,0,0,1.48,45.96
"BlackRock, Inc. Common Stock",BLK,516419,178.38,0.01175091193329857,498530,2.64,4880000000,19.04,0.12824074074074066,62570000000,0.1279572694111517,1.37,20.15,-0.005758207399687465,0.0223,2.15,17.76,15.74,5.61,0,0,0,1,0,0,0,0,0,0,0,3.28,375.24
Ball Corporation Common Stock,BLL,1326580,19.64,0.009128630705394145,1305946,0.73,1340000000,1.63,0.18527315914489306,12650000000,0.14937759336099576,1.89,44.34,-0.006224066390041583,-0.0462,3.68,17.17,14.48,1.40,0,0,0,0,0,0,0,1,0,0,0,6.47,75.78
Bristol-Myers Squibb Company Co,BMY,13171600,9.68,0.01057601510859292,8036674,2.95,6700000000,2.65,0.09285714285714297,88540000000,0.045892351274787524,1.60,19.97,-0.005099150141643083,-0.0313,5.47,18.90,17.30,4.56,0,0,0,0,1,0,0,0,0,0,0,2.81,54.64
Boston Scientific Corporation C,BSX,7830890,4.94,0.011779041429732035,5355806,0,2200000000,0.25,0.1279999999999999,33360000000,0.14459788789601946,1.57,97.88,-0.0036555645816409577,0.0554,4.98,19.58,17.35,4.00,0,0,0,0,1,0,0,0,0,0,0,1.76,23.19
BorgWarner Inc. Common Stock,BWA,1868490,15.16,0.016262261228704247,1626126,1.47,1510000000,0.55,0.08797653958944274,8260000000,0.1148683531233865,1.46,70.64,-0.008776458440888035,-0.0027,2.56,11.39,10.47,0.91,1,0,0,0,0,0,0,0,0,0,0,7.22,38.96
"Boston Properties, Inc. Common",BXP,766287,36.32,0.013516475487689006,501605,2.27,1530000000,3.26,0.21576763485477168,20880000000,0.008256009351939708,20.90,41.64,-0.0024110469788851674,0.0525,3.77,56.32,46.33,8.22,0,0,0,0,0,0,0,0,1,0,0,2.87,128.97
"Citigroup, Inc. Common Stock",C,18485500,75.86,0.013900661129004921,16890955,1.10,0.00,4.96,0.14341085271317833,160850000000,0.09815222919138833,1.55,11.77,-0.00695033056450256,0.0296,0.78,11.32,9.88,2.54,0,0,0,1,0,0,0,0,0,0,0,1.35,56.74
CA Inc.,CA,2590130,13.49,0.008493236866939275,1049916,3.22,1280000000,1.89,0.008196721311475308,13320000000,0.02768166089965396,21.62,16.89,-0.002201950298836075,-0.005600000000000001,2.36,13.06,12.95,3.29,0,0,0,0,0,0,1,0,0,0,0,6.35,32.04
"ConAgra Brands, Inc. Common Sto",CAG,3060920,9.92,0.014582303509639233,2371906,1.98,1860000000,1.38,0.09302325581395343,17360000000,0.059317844784972706,1.81,29.67,0.00024715768660410475,0.0518,4.08,23.72,21.70,1.57,0,1,0,0,0,0,0,0,0,0,0,1.22,38.78
"Cardinal Health, Inc. Common St",CAH,2151430,17.91,0.025051936942441615,13338106,2.20,3070000000,4.15,0.09225092250922518,22840000000,0.018086276426738435,1.63,17.43,-0.11218379567395809,-0.0464,4.57,13.36,12.23,0.20,0,0,0,0,1,0,0,0,0,0,0,5.06,75.91
D/B/A Chubb Limited New Common,CB,1304400,103.60,0.006512772270062998,1206784,2.02,5690000000,8.87,0.05308880308880326,64040000000,0.03705043780302475,2.63,15.50,-0.0028945654533613085,0.0464,1.33,13.32,12.60,2.04,0,0,0,1,0,0,0,0,0,0,0,4.06,131.40
CBRE Group Inc Common Stock Cla,CBG,2426920,9.07,0.016561276723878478,1775912,0,1200000000,1.69,0.058577405857740406,11100000000,0.1240590183679613,1.28,19.75,-0.002408912978018596,0.0654,3.66,14.03,13.19,0.84,0,0,0,0,0,0,0,0,1,0,0,4.38,31.33
"CBOE Holdings, Inc.",CBOE,1312410,3.91,0.010589094449854,654064,1.23,357260000,2.27,0.17515923566878966,6660000000,0.03152385589094453,1.36,36.09,-0.0049902629016552735,0.1058,21.01,26.09,22.20,10.17,0,0,0,1,0,0,0,0,0,0,0,1.41,74.09
CBS Corporation Class B Common,CBS,3072020,8.95,0.027984519202143635,3540879,1.08,3100000000,2.81,0.1534988713318286,28010000000,0.08946114915153314,0.93,24.34,-0.002828222685323234,0.087,7.50,15.44,13.38,2.09,1,0,0,0,0,0,0,0,0,0,0,2.88,62.91
Crown Castle International Corp,CCI,2057010,20.96,0.011838006230529453,2008324,3.96,2069999999,0.95,0.29824561403508776,34900000000,0.06625129802699914,3.98,101.88,-0.0009345794392523477,0.08689999999999999,4.59,84.90,65.40,8.85,0,0,0,0,0,0,0,0,1,0,0,2.62,89.05
Carnival Corporation Common Sto,CCL,3222240,31.21,0.011802942182688979,4371522,2.44,4980000000,4.06,0.14864864864864868,42380000000,0.08518645227505983,1.15,14.38,0.0020526855969893454,0.09449999999999999,1.87,15.78,13.73,2.57,1,0,0,0,0,0,0,0,0,0,0,5.89,53.33
Celgene Corporation,CELG,3801710,8.48,0.02198768689533861,3064350,0,4010000000,2.49,0.21576763485477168,95700000000,0.11969297193571604,0.76,49.40,-0.004717358279363482,0.0596,14.76,17.01,13.99,8.66,0,0,0,0,1,0,0,0,0,0,0,2.00,116.09
Cerner Corporation,CERN,2706140,11.92,0.011738686628104879,1580213,0,1320000000,1.85,0.10399999999999987,19230000000,-0.0013610071452875294,1.64,31.52,-0.0003402517863219101,0.0797,4.93,23.32,21.13,4.12,0,0,0,0,1,0,0,0,0,0,0,8.97,54.01
"Citizens Financial Group, Inc.",CFG,5052310,38.09,0.021816037735849114,4819030,1.68,0.00,1.97,0.16883116883116878,17160000000,0.11733490566037719,0.88,17.11,-0.008254716981132115,0.0097,0.89,14.59,12.48,3.54,0,0,0,1,0,0,0,0,0,0,0,1.71,33.38
"Church & Dwight Company, Inc. C",CHD,1947900,7.79,0.011918951132300385,1286791,1.45,836700000,1.75,0.0736842105263158,12910000000,-0.031982518871672805,3.39,28.97,-0.0003972983710767153,0.0802,6.46,26.68,24.85,3.67,0,1,0,0,0,0,0,0,0,0,0,4.92,46.94
"C.H. Robinson Worldwide, Inc.",CHRW,1234690,8.90,0.006079027355623018,1066975,2.42,900800000,3.59,0.07103825136612008,10640000000,0.008193471653231255,2.59,20.97,-0.0014536804546054771,0.0083,8.50,20.57,19.21,0.81,0,0,0,0,0,1,0,0,0,0,0,12.95,74.67
"Charter Communications, Inc.",CHTR,1389080,149.27,0.015286354280179233,1392556,0,10730000000,15.95,13.416666666666668,88250000000,-0.9984864995762199,19.05,20.58,-0.002239980627194549,0.1059,2.21,63.48,37.94,3.06,1,0,0,0,0,0,0,0,0,0,0,6.68,296.76
Cigna Corporation Common Stock,CI,1358670,53.42,0.015413111067010734,1044375,0.03,3850000000,7.19,0.14480587618048268,38510000000,0.11272077793212953,1.20,20.84,0.0,0.0702,2.83,15.72,13.73,0.98,0,0,0,0,1,0,0,0,0,0,0,0.98,139.99
Cincinnati Financial Corporatio,CINF,515485,42.95,0.01550279329608938,674084,2.84,913000000,3.55,0.036666666666666625,11620000000,0.027932960893854775,-146.81,19.88,-0.00851955307262564,-0.036699999999999997,1.67,23.52,22.69,2.16,0,0,0,1,0,0,0,0,0,0,0,8.05,73.25
Clorox Company (The) Common Sto,CLX,906157,2.11,0.007626240189545395,731789,2.39,1220000000,4.99,0.07317073170731692,17390000000,-0.028802013919739466,3.60,27.20,-0.0014067821708869666,0.0886,64.13,25.44,23.70,2.95,0,1,0,0,0,0,0,0,0,0,0,4.63,124.55
Comerica Incorporated Common St,CMA,1678980,44.47,0.046317047661736055,3805791,1.34,0.00,2.68,0.19651741293532332,11910000000,0.08322127595995799,0.73,25.26,-0.01718213058419249,0.0533,1.51,16.84,14.08,4.53,0,0,0,1,0,0,0,0,0,0,0,3.17,64.29
Comcast Corporation,CMCSA,16478500,11.35,0.019892473118279623,23066988,1.70,26480000000,1.78,0.14814814814814814,178610000000,0.14139784946236555,1.67,21.06,-0.0005376344086022167,0.0617,3.28,19.89,17.32,2.20,1,0,0,0,0,0,0,0,0,0,0,4.72,35.41
CME Group Inc.,CME,1535020,60.14,0.011324931880109098,848557,2.28,2450000000,4.53,0.0950413223140496,39770000000,0.10124318801089927,2.78,25.85,-0.004002043596730287,0.0115,1.95,24.05,22.09,11.09,0,0,0,1,0,0,0,0,0,0,0,5.16,115.77
"Chipotle Mexican Grill, Inc. Co",CMG,822951,48.67,0.0158122113686182,486651,0,204810000,0.77,0.4447174447174447,13480000000,-0.13237140607376197,0.40,608.45,0.002362254995850188,0.14859999999999998,9.65,57.56,39.84,3.46,1,0,0,0,0,0,0,0,0,0,0,7.04,407.89
Cummins Inc. Common Stock,CMI,1188950,41.04,0.015578231292516953,1376817,2.84,2310000000,8.23,0.17167919799498743,24300000000,0.01578231292516996,4.23,17.63,-0.012040816326530646,0.0262,3.58,17.78,15.52,1.41,0,0,0,0,0,1,0,0,0,0,0,2.65,141.37
CMS Energy Corporation Common S,CMS,1842400,15.23,0.0070252469813391945,1434786,2.97,2000000000,1.98,0.07373271889400934,12770000000,-0.003732162458836341,2.80,23.08,0.00021953896816695462,0.079,2.99,21.06,19.61,1.99,0,0,0,0,0,0,0,0,0,0,1,2.00,42.34
Centene Corporation Common Stoc,CNC,1806110,34.29,0.01759819794453048,1099615,0,1970000000,3.43,0.12553191489361692,12240000000,0.12881880895396325,1.01,20.76,0.001689427002675048,0.11900000000000001,2.07,15.14,13.45,0.32,0,0,0,0,1,0,0,0,0,0,0,2.01,63.60
"CenterPoint Energy, Inc (Holdin",CNP,3009260,8.03,0.008144475920679902,3478542,3.83,2089999999,1.00,0.06153846153846132,12190000000,-0.0393059490084986,3.55,28.30,0.0007082152974504652,0.1223,3.52,21.77,20.51,1.62,0,0,0,0,0,0,0,0,0,0,1,3.86,25.22
Capital One Financial Corporati,COF,2635170,98.96,0.024819277108433763,3119402,1.97,0.00,6.89,0.12833545108005096,39320000000,0.19819277108433742,1.45,11.88,-0.005421686746987953,-0.0332,0.84,10.41,9.28,2.09,0,0,0,1,0,0,0,0,0,0,0,3.27,84.71
"Coach, Inc. Common Stock",COH,3546230,10.02,0.011581067472306165,2070273,3.40,898900000,1.82,0.09302325581395365,11090000000,0.08131923464249757,1.86,21.69,-0.007301107754279945,0.0593,3.96,18.38,16.82,2.45,1,0,0,0,0,0,0,0,0,0,0,3.09,37.31
"Rockwell Collins, Inc. Common S",COL,1506130,16.85,0.010145521623283407,8697774,1.37,1220000000,5.59,0.10204081632653073,12660000000,0.08085673293707729,2.19,17.30,-0.0016396802623488416,0.0562,5.79,17.96,16.29,2.42,0,0,0,0,0,1,0,0,0,0,0,6.99,91.63
