.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetOverCurrent,PEGRatio,PERatio,PercentChange,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,StockExchange,TwoHundreddayMovingAverage,Volume
Ameren Corporation Common Stock,AEE,1244540,29.65,3.33,2290000000.0,2.68,0.42,2.77,2.67,52.35,12750000000.0,1.0042194092827004,3.37,19.65,-0.0021,-0.009686609686609615,0.0034999999999999996,0.04190000000000001,-0.0285,0.165,1.78,19.60,18.97,2.19,5.64,1,50.43,2209474
American Electric Power Company,AEP,2390150,35.38,3.69,5440000000.0,3.67,0.89,3.88,1.24,63.19,30960000000.0,1.0651517559192754,11.70,50.70,-0.004699999999999999,-0.00537379484747913,-0.0034999999999999996,-0.0070999999999999995,-0.11710000000000001,0.08779999999999999,1.79,17.16,16.23,1.90,2.17,1,63.42,900286
Aetna Inc. Common Stock,AET,3074170,50.84,0.82,6200000000.0,8.79,2.32,9.76,6.41,121.76,44920000000.0,1.108586861545794,1.04,19.93,0.015300000000000001,0.0006358795008345464,0.049,0.07139999999999999,-0.0642,0.24989999999999998,2.47,14.53,13.09,0.70,1.37,1,119.22,2941129
AFLAC Incorporated Common Stock,AFL,2325680,50.47,2.46,4120000000.0,6.39,1.61,6.70,6.42,69.76,28810000000.0,1.010582757160999,1.62,11.06,-0.0006,-0.002393018018018056,0.0178,-0.0,-0.047,0.2145,1.41,11.11,10.60,1.28,3.06,1,71.00,2264590
Allergan plc Ordinary Shares,AGN,4458820,221.28,1.13,6110000000.0,16.04,4.09,17.81,38.18,222.77,93510000000.0,1.0788438378161382,1.12,6.53,0.003,0.002132196162046851,0.1192,0.11869999999999999,-0.1726,0.3513,1.12,15.54,14.00,6.40,4.36,1,222.86,3510906
"American International Group, I",AIG,5317630,85.017,1.950,5330000000.0,3.760,1.340,6.450,0.307,65.712,62230000000.0,1.1512631915574032,0.500,197.345,-0.09426,-0.06503214232321719,-0.07803,-0.02443,-0.10205,0.2515,0.787,11.346,9.393,1.293,2.910,1,62.102,11022061
Apartment Investment and Manage,AIV,1156910,10.69,3.15,573940000.0,0.49,0.12,0.58,2.67,44.68,6980000000.0,1.0603217158176945,13.04,16.75,-0.0062,-0.005333333333333412,0.0008,0.016399999999999998,-0.0666,0.2611,4.21,91.27,77.10,7.21,4.37,1,44.00,777817
"Assurant, Inc. Common Stock",AIZ,416444,71.27,2.28,1040000000.0,6.25,1.60,7.22,9.13,95.30,5530000000.0,1.0304659498207884,0.56,10.54,0.0105,-0.004094488188976397,0.01,0.0775,-0.0275,0.4413,1.34,15.40,13.33,0.73,5.16,1,89.33,369670
Arthur J. Gallagher & Co. Commo,AJG,1055360,20.17,2.83,861170000.0,3.02,1.06,3.39,2.32,53.43,9950000000.0,1.050755939524838,1.59,24.06,0.004699999999999999,0.0,0.044800000000000006,0.0984,-0.0013,0.43200000000000005,2.75,18.48,16.47,1.79,3.92,1,50.82,567138
"Akamai Technologies, Inc.",AKAM,1875850,18.64,0,788760000.0,2.79,0.67,3.17,1.79,68.11,11020000000.0,1.1342812006319116,1.59,35.58,0.0022,-0.003933910306844979,-0.0649,0.0426,-0.111,0.33240000000000003,3.41,22.83,20.09,4.70,4.65,0,61.09,352563
Albemarle Corporation Common St,ALB,829747,29.33,1.30,972980000.0,3.52,0.95,4.06,1.91,92.36,10390000000.0,1.0746906143905377,3.99,48.35,0.0127,0.0013159337646673208,-0.0002,0.0808,-0.0369,0.8454999999999999,3.11,26.24,22.75,2.91,2.82,1,85.44,716755
"Alaska Air Group, Inc. Common S",ALK,1271710,23.77,1.23,1830000000.0,7.98,2.42,8.74,6.54,92.99,11970000000.0,1.1109051590979302,1.17,14.84,0.0077,0.008411214953271129,0.0436,0.2416,-0.0187,0.7802,4.05,12.08,11.10,2.00,5.94,1,78.16,1145096
Allstate Corporation (The) Comm,ALL,2071950,51.44,1.71,3460000000.0,6.22,1.20,6.88,4.67,75.67,29540000000.0,1.020875,0.91,17.28,0.011399999999999999,0.0025062656641603454,0.0666,0.1355,-0.0001,0.28559999999999997,1.55,12.98,11.73,0.80,2.65,1,71.08,1820244
Allegion plc Ordinary Shares,ALLE,751836,1.22,0.89,492400000.0,3.69,1.01,4.08,2.36,66.54,6870000000.0,1.1180124223602483,1.48,30.44,0.010700000000000001,-0.003376477208778761,0.0797,0.0623,-0.0225,0.23929999999999998,58.36,19.47,17.61,3.04,3.79,1,67.63,488847
"Alexion Pharmaceuticals, Inc.",ALXN,2717520,37.98,0,1110000000.0,4.63,1.31,5.54,1.64,130.97,29130000000.0,1.3011777467844414,1.31,79.33,0.0046,-0.0033976833976834264,-0.0066,0.024300000000000002,-0.19690000000000002,0.1923,3.41,28.10,23.48,9.82,1.82,0,127.02,986795
"Applied Materials, Inc.",AMAT,10063100,6.70,1.13,2540000000.0,2.46,0.63,2.63,1.54,33.92,38210000000.0,1.078116187253243,0.92,23.05,0.0074,0.006528526823729841,0.0462,0.1551,-0.01,1.115,5.26,14.43,13.49,3.50,1.32,0,30.73,17357392
"AMETEK, Inc.",AME,2017320,14.15,0.67,965850000.0,2.44,0.63,2.44,2.19,51.04,12500000000.0,1.0529629629629629,2.06,24.79,0.0131,0.007838745800671898,0.0635,0.12029999999999999,-0.0022,0.25420000000000004,3.79,22.25,20.33,3.21,3.91,1,48.45,2007738
"Affiliated Managers Group, Inc.",AMG,622686,65.81,0.48,834900000.0,14.68,3.33,16.36,8.57,149.91,9370000000.0,1.1160714285714286,0.81,19.88,0.0158,0.00190839694656475,0.1362,0.1681,-0.0529,0.3666,2.55,11.60,10.41,4.20,2.03,1,145.81,566864
Amgen Inc.,AMGN,3609230,40.48,2.74,12000000000.0,12.34,3.11,12.83,10.24,157.97,126780000000.0,1.0989720296437964,2.01,16.78,0.0223,-0.004343945254388637,0.0875,0.0788,-0.0286,0.28550000000000003,4.15,13.92,13.39,5.39,1.58,0,159.24,4058811
"Ameriprise Financial, Inc. Comm",AMP,1116360,40.65,2.41,2760000000.0,10.58,2.58,11.95,7.81,116.57,19950000000.0,1.0690355329949237,0.81,16.50,0.0083,0.0018777873405837475,0.10550000000000001,0.21739999999999998,-0.0025,0.6031,3.14,12.18,10.78,1.69,1.72,1,105.85,815558
American Tower Corporation (REI,AMT,2253360,15.76,2.20,3310000000.0,2.09,0.62,2.74,2.00,104.88,45600000000.0,1.212064618545149,1.54,53.61,0.0031,0.002903165386776596,0.0213,-0.0206,-0.0943,0.2789,6.78,51.25,39.09,8.23,3.14,1,109.36,1362491
"Amazon.com, Inc.",AMZN,3782430,40.4300,0,12300000000.0,7.2900,1.8800,12.8400,4.9000,807.4340,400620000000.0,1.111822541966427,3.0400,171.4050,0.004178,-0.0028575186216955872,0.040189,0.066131,-0.008647,0.629736,20.6874,115.2105,65.4115,2.9338,1.6100,0,787.7870,940115
"AutoNation, Inc. Common Stock",AN,960231,22.95,0,970700000.0,4.03,1.03,4.47,4.15,50.44,4790000000.0,1.080279601779284,1.08,11.43,-0.0021,-0.006732589943193812,-0.0596,-0.0123,-0.1241,0.2075,2.07,11.77,10.61,0.22,7.76,1,48.02,929758
"Anthem, Inc. Common Stock",ANTM,1664950,93.41,1.60,6190000000.0,11.58,3.37,12.81,9.21,151.93,43710000000.0,1.0726860087100534,1.19,17.66,-0.0039000000000000003,-0.001775655155522804,0.0708,0.1974,-0.0192,0.4165,1.75,14.05,12.70,0.52,4.29,1,135.87,3009298
Aon plc Class A Ordinary Shares,AON,1040950,20.61,1.14,2420000000.0,6.57,1.40,7.90,5.16,113.29,30960000000.0,1.053395541731467,2.29,22.59,0.0060999999999999995,-0.0009495036685368552,0.028900000000000002,0.044500000000000005,-0.0102,0.255,5.62,17.74,14.75,2.65,1.85,1,111.59,739731
"Air Products and Chemicals, Inc",APD,1408390,32.91,2.71,3130000000.0,6.15,1.65,6.85,2.60,143.47,30980000000.0,1.06515140820216,-77.03,54.82,0.0018,-0.003236473650883087,-0.0076,0.011899999999999999,-0.0536,0.21789999999999998,4.32,23.15,20.79,3.24,1.73,1,140.71,1429025
Amphenol Corporation Common Sto,APH,1205370,11.91,0.93,1460000000.0,2.91,0.71,3.14,2.61,67.79,21290000000.0,1.0127814088598404,3.36,26.44,-0.0016,-0.0040503399392448625,0.0182,0.0554,-0.0033,0.341,5.80,23.72,21.98,3.39,3.69,1,65.39,1463608
"Activision Blizzard, Inc",ATVI,9156100,12.26,0.57,2290000000.0,1.96,0.32,2.37,1.28,39.64,33840000000.000004,1.1321556350626119,1.42,35.53,0.0111,-0.00578034682080919,0.1474,0.1182,-0.0453,0.5874,3.67,23.20,19.19,5.06,2.66,0,40.67,11280785
"AvalonBay Communities, Inc. Com",AVB,805419,74.06,3.16,1300000000.0,4.50,1.15,4.73,7.52,175.99,24440000000.0,1.0680126325287616,8.26,23.67,-0.0027,-0.00638798610332858,0.0113,0.027000000000000003,-0.07440000000000001,0.1242,2.41,38.95,37.63,11.94,6.66,1,173.31,522568
Avery Dennison Corporation Comm,AVY,772202,10.27,2.07,782300000.0,4.43,1.19,4.86,3.54,74.65,7170000000.0,1.0696939033645332,1.65,22.49,0.0032,-0.0029007441039223814,0.0655,0.064,-0.0161,0.2712,7.72,17.95,16.37,1.17,5.04,1,74.75,481461
"American Water Works Company, I",AWK,939347,29.43,2.04,1520000000.0,2.85,0.54,3.04,2.60,72.22,13000000000.0,1.0890023457982614,3.43,28.09,0.0027,-0.004669688229638869,0.011000000000000001,-0.0078000000000000005,-0.1435,0.1293,2.47,25.62,24.02,3.95,4.58,1,73.58,670219
American Express Company Common,AXP,4175760,23.23,1.62,0.00,5.66,1.43,6.25,5.65,76.81,71960000000.0,1.0116555959393407,2.16,14.09,0.0024,0.004785291524997071,0.0363,0.1439,-0.0062,0.4892,3.42,14.06,12.74,2.39,3.10,1,69.59,5704079
Acuity Brands Inc (Holding Comp,AYI,666031,39.500,0.250,586200000.0,8.790,2.270,10.470,6.920,215.057,9440000000.0,1.1123527211520479,0.960,31.135,0.01654,0.009105921207832157,0.00185,-0.11808,-0.23296,0.15124,5.366,24.511,20.578,2.726,3.360,1,244.301,543025
Boeing Company (The) Common Sto,BA,3323450,1.32,3.42,8680000000.0,9.29,2.33,10.11,7.61,161.77,103690000000.0,1.0313501959387246,1.38,22.25,0.004699999999999999,-0.0004747774480713396,0.0466,0.16670000000000001,-0.0040999999999999995,0.5047999999999999,127.27,18.22,16.75,1.09,3.69,1,145.12,4033198
Bank of America Corporation Com,BAC,109115000,24.04,1.30,0.00,1.73,0.46,2.09,1.50,22.90,258490000000.0,1.021783806000822,1.29,16.39,0.0216,0.01122194513715713,0.0732,0.3035,-0.0077,1.1561,1.00,14.21,11.76,3.16,1.10,1,18.86,151190075
Baxter International Inc. Commo,BAX,3302120,15.95,1.06,1990000000.0,2.17,0.52,2.45,9.01,46.85,26890000000.0,1.0882897715579336,1.61,5.49,0.0098,-0.007557189542483633,0.0553,0.056600000000000004,-0.0144,0.3233,3.07,22.78,20.18,2.62,3.12,1,46.79,2594462
Bed Bath & Beyond Inc.,BBBY,2485590,17.82,1.24,1500000000.0,4.52,0.76,4.62,4.71,40.50,6060000000.0,1.0209653827401268,1.50,8.76,0.0063,0.0,0.019299999999999998,-0.042,-0.2168,0.0693,2.30,9.13,8.94,0.50,5.93,0,43.09,1708016
BB&T Corporation Common Stock,BBT,4823630,33.14,2.57,0.00,3.09,0.78,3.47,2.77,46.55,39070000000.0,1.010622786919392,2.93,17.42,0.008100000000000001,0.002924587424274039,0.0366,0.1516,-0.0021,0.5433,1.44,15.62,13.91,3.79,2.81,1,41.91,4298298
"Best Buy Co., Inc. Common Stock",BBY,5197490,13.61,2.55,2480000000.0,3.28,0.49,3.47,3.35,44.00,14410000000.0,1.0004402377283734,1.11,13.71,0.0139,0.0030911901081915882,0.0436,0.1209,-0.0704,0.5967,3.33,14.00,13.23,0.36,7.75,1,40.97,4131976
"C.R. Bard, Inc. Common Stock",BCR,589769,23.42,0.43,1170000000.0,11.64,2.87,12.84,7.03,233.09,17640000000.0,1.0390374108520666,1.82,34.12,-0.0033,-0.0036981633840271755,0.028999999999999998,0.0783,-0.0068000000000000005,0.2915,10.27,20.61,18.68,4.76,1.47,1,222.43,107913
"Becton, Dickinson and Company C",BDX,1046810,35.63,1.64,3260000000.0,9.43,2.47,10.40,6.01,173.24,38330000000.0,1.0637927158273384,1.87,29.98,0.0074,-0.004754712759411639,0.039599999999999996,0.0425,-0.0092,0.26489999999999997,5.02,19.10,17.32,3.06,3.20,1,172.75,855048
"Franklin Resources, Inc. Common",BEN,2414620,21.15,1.96,2320000000.0,2.68,0.64,2.67,2.97,40.49,24150000000.0,0.9202932828760643,-2.83,14.40,0.0147,0.004275534441805284,0.055099999999999996,0.1353,-0.0026,0.3979,1.99,15.94,16.00,3.71,4.06,1,37.63,2365138
Biogen Inc.,BIIB,1832210,56.23,0,6370000000.0,20.98,5.19,22.52,16.93,281.29,63200000000.0,1.1305478441156835,2.16,17.29,0.0263,-0.0019990180262327018,0.0403,-0.0159,-0.1229,0.3122,5.07,13.95,12.99,5.38,1.12,0,297.36,2601209
Bank of New York Mellon Corpora,BK,5885980,33.67,1.67,0.00,3.46,0.85,3.90,3.15,46.23,49680000000.0,1.0991067630795406,1.21,15.06,0.013000000000000001,0.004271678769756537,0.026000000000000002,0.08259999999999999,-0.0426,0.40240000000000004,1.39,13.71,12.16,3.22,1.51,1,43.81,4833059
"BlackRock, Inc. Common Stock",BLK,648169,176.40,2.59,4870000000.0,21.36,5.29,24.24,19.04,379.99,64110000000.0,1.1000285499234341,1.56,20.64,0.0209,0.0008052366356694485,0.034300000000000004,0.0617,-0.0161,0.3232,2.18,18.40,16.21,5.63,2.72,1,370.21,640034
Ball Corporation Common Stock,BLL,1218120,20.04,0.70,1280000000.0,4.23,1.14,5.03,1.39,75.49,12770000000.0,1.1492537313432836,1.94,52.60,-0.0084,-0.0005424464334146117,-0.0313,-0.0558,-0.1109,0.1222,3.68,17.29,14.54,1.41,9.64,1,77.44,1385488
Bristol-Myers Squibb Company Co,BMY,11887100,9.342,3.020,6780000000.0,2.810,0.690,3.090,2.650,53.982,92330000000.0,1.0275605214152699,1.330,20.847,0.02858,-0.00018618506795753387,0.02339,-0.01049,-0.28364999999999996,0.20071999999999998,5.749,19.660,17.879,4.620,0.790,1,55.831,8893484
Boston Scientific Corporation C,BSX,8206100,4.94,0,2270000000.0,1.25,0.31,1.42,0.25,23.75,34610000000.0,1.1176470588235294,1.61,101.64,0.0091,-0.000794281175536149,0.0699,0.10679999999999999,-0.009399999999999999,0.5107,5.09,20.33,17.89,4.09,2.20,1,22.96,9378474
BorgWarner Inc. Common Stock,BWA,2162910,15.16,1.35,807600000.0,3.41,0.87,3.71,0.55,40.49,8910000000.0,1.0248192771084337,1.60,76.20,0.009899999999999999,0.0,0.0351,0.13949999999999999,-0.0064,0.5229,2.74,12.29,11.30,0.97,6.67,1,36.78,1532333
"Boston Properties, Inc. Common",BXP,796364,36.31,2.24,1510000000.0,2.23,0.64,2.81,3.25,129.88,20980000000.0,1.0085729066587834,7.55,41.98,0.0046,-0.003534870019883618,0.0504,0.0437,-0.0528,0.24059999999999998,3.74,61.17,48.55,8.16,3.25,1,130.71,775396
"Citigroup, Inc. Common Stock",C,20688000,74.26,1.11,0.00,5.20,1.31,5.92,4.72,58.28,167730000000.0,1.073969414893617,1.61,12.82,0.011200000000000002,0.0055156276115659875,0.038,0.1523,-0.0183,0.6526000000000001,0.81,11.63,10.22,2.63,0.96,1,52.50,22423933
CA Inc.,CA,2642210,13.49,3.21,1280000000.0,2.44,0.60,2.46,1.89,32.13,13250000000.0,1.0422624721957419,21.75,16.80,0.0006,-0.006315124723713428,-0.013600000000000001,-0.024900000000000002,-0.0943,0.10300000000000001,2.35,12.99,12.88,3.28,4.72,0,32.50,2111767
"ConAgra Brands, Inc. Common Sto",CAG,3079480,10.22,2.01,1830000000.0,1.69,0.39,1.87,1.42,39.15,17380000000.0,1.0384422110552765,1.82,28.17,0.0038,0.00025131942699174736,0.0202,0.07629999999999999,-0.0046,0.2469,3.89,23.63,21.36,1.54,1.44,1,37.11,4632796
"Cardinal Health, Inc. Common St",CAH,2589510,17.91,2.32,3070000000.0,5.42,1.37,5.94,4.15,75.04,24700000000.0,1.0367228061289098,1.58,18.85,-0.0074,0.0011409736308316543,0.0435,0.0364,-0.10869999999999999,0.2488,4.40,14.45,13.18,0.20,4.76,1,75.55,137520
D/B/A Chubb Limited New Common,CB,1485990,103.60,2.08,5730000000.0,10.36,2.55,10.95,8.87,131.62,62650000000.0,1.0499402806808003,2.64,15.16,0.0034999999999999996,-0.00022389730576910516,0.0216,0.0508,-0.0007000000000000001,0.17350000000000002,1.29,12.98,12.28,1.98,3.76,1,127.96,936791
CBRE Group Inc Common Stock Cla,CBG,2163340,8.95,0,1150000000.0,2.37,0.53,2.57,1.69,31.39,11940000000.0,1.0290432801822325,1.30,20.97,0.0088,-0.000284656988329246,0.12890000000000001,0.2002,-0.0059,0.4891,3.93,14.95,13.79,0.91,4.54,1,29.53,2870437
CBS Corporation Class B Common,CBS,3917520,12.24,1.12,3350000000.0,4.09,0.98,4.43,3.56,63.98,28030000000.0,1.079687977974916,0.86,18.32,-0.0014000000000000002,0.0007653451706719494,0.0196,0.1242,-0.0245,0.45299999999999996,5.34,15.95,14.73,1.94,3.77,1,58.03,3541338
Crown Castle International Corp,CCI,2139100,21.46,4.34,2109999999.9999998,1.16,0.27,1.50,0.95,87.08,31430000000.0,1.1322249497879937,-2.40,93.95,-0.0111,-0.006980609418282491,0.024900000000000002,-0.0058,-0.132,0.1243,4.21,76.94,59.50,8.10,2.87,1,89.77,121876
Carnival Corporation Common Sto,CCL,3328020,31.12,2.49,4760000000.0,3.58,0.46,4.13,3.72,54.54,41000000000.0,1.0237372835980725,1.15,15.18,0.002,-0.006031577080007011,0.0355,0.1294,-0.0227,0.3184,1.81,15.78,13.68,2.50,6.24,1,50.01,3190217
Celgene Corporation,CELG,4293570,7.29,0,3890000000.0,7.22,1.76,8.76,2.49,116.17,93390000000.0,1.2056689148809017,0.72,48.38,0.029500000000000002,0.0009400102546572864,0.037000000000000005,0.0764,-0.051399999999999994,0.2763,16.06,16.69,13.75,8.08,1.51,0,111.92,5229593
Cerner Corporation,CERN,3245870,11.73,0,1310000000.0,2.51,0.63,2.76,1.85,51.26,18440000000.0,1.0349136346931276,1.52,29.77,0.0095,-0.0023831347387717194,0.07429999999999999,-0.0226,-0.1841,0.17149999999999999,4.65,21.94,19.95,3.88,6.26,0,56.34,3571111
"CF Industries Holdings, Inc. Co",CF,5445440,16.56,3.35,1300000000.0,0.76,0.08,0.57,0.30,34.42,8039999999.999999,0.8889502762430939,-5.13,114.97,-0.0425,0.0049972237645752315,0.0019,0.24559999999999998,-0.08560000000000001,0.6606000000000001,2.18,45.38,60.51,2.13,4.61,1,27.69,9225971
"Citizens Financial Group, Inc.",CFG,5354310,38.09,1.54,0.00,2.27,0.56,2.66,1.97,36.16,19640000000.0,0.9918635170603674,0.98,19.48,0.0103,0.003159557661927437,0.061200000000000004,0.2988,-0.0016,1.0920999999999998,1.00,16.90,14.42,3.98,1.60,1,29.54,3840393
"Church & Dwight Company, Inc. C",CHD,1968680,7.71,1.50,831800000.0,1.90,0.42,2.04,1.75,45.57,12510000000.0,0.9860226104830422,3.32,27.88,0.0054,0.0024726973006388153,0.0706,0.045,-0.0911,0.1465,6.29,25.68,23.92,3.56,4.96,1,46.69,3144394
"C.H. Robinson Worldwide, Inc.",CHRW,1360330,8.88,2.35,912200000.0,3.68,0.98,3.96,3.59,74.73,11040000000.0,0.9892556634304207,2.86,21.69,0.0088,0.0006476683937823857,0.042199999999999994,0.08289999999999999,-0.0008,0.1877,8.70,21.16,19.67,0.83,13.39,0,71.92,885160
"Charter Communications, Inc.",CHTR,1694330,148.81,0,7420000000.0,0.60,0.96,4.96,10.88,310.62,88010000000.0,0.0015535187199005747,3.65,29.88,0.009899999999999999,-0.0004658385093166961,0.046900000000000004,0.1782,-0.0478,0.9425,2.16,89.58,65.56,4.10,3.84,0,275.99,1380220
Cigna Corporation Common Stock,CI,1270350,53.42,0.03,4170000000.0,9.52,2.45,10.90,7.19,144.19,37650000000.0,1.1290609397442035,1.29,20.39,-0.0006,-0.003204254158712838,0.0166,0.09699999999999999,-0.027200000000000002,0.27440000000000003,2.75,15.40,13.45,0.95,0.92,1,133.63,2248996
Cincinnati Financial Corporatio,CINF,627203,42.94,2.81,910330000.0,3.07,0.61,3.22,3.55,72.17,11960000000.0,1.0195317911068014,-3.93,20.50,0.0051,-0.002762812543169013,0.008100000000000001,-0.020499999999999997,-0.0859,0.1743,1.69,23.70,22.60,2.18,6.24,0,74.28,248687
Clorox Company (The) Common Sto,CLX,976405,2.11,2.52,1220000000.0,5.33,1.50,5.73,4.99,122.29,16469999999.999998,0.9773100696346139,3.42,25.76,0.008,0.0032182103610673973,0.0501,0.049,-0.0858,0.15439999999999998,60.49,24.09,22.41,2.78,5.97,1,122.43,678851
Comerica Incorporated Common St,CMA,2033040,44.47,1.33,0.00,3.98,0.96,4.71,2.68,68.61,12840000000.0,0.9752441204786138,0.81,27.33,0.0168,0.00944051089823672,0.0675,0.2891,-0.0083,1.3075,1.62,18.40,15.55,4.86,2.67,1,56.81,4129398
Comcast Corporation,CMCSA,9827200,22.70,0.84,26480000000.0,3.75,0.93,4.35,3.57,73.03,180580000000.0,1.0876567656765677,1.74,21.29,-0.0011,-0.00446839269286381,0.0408,0.1158,-0.011200000000000002,0.3432,3.35,20.27,17.47,2.25,2.95,0,68.12,1558195
CME Group Inc.,CME,1617620,60.17,2.22,2430000000.0,4.81,1.23,5.27,4.53,117.88,41330000000.0,1.0427230819888047,2.80,26.98,0.0102,0.003883976530865141,0.037000000000000005,0.0998,-0.0143,0.3735,2.01,25.41,23.20,11.38,5.43,0,111.14,656608
"Chipotle Mexican Grill, Inc. Co",CMG,1062790,48.67,0,204810000.0,8.21,2.42,11.89,0.77,406.17,12180000000.0,0.9566428571428572,0.36,549.79,0.0091,0.0010964389569527722,0.042300000000000004,0.0518,-0.21960000000000002,0.19940000000000002,8.62,51.56,35.60,3.09,5.24,1,402.48,822293
Cummins Inc. Common Stock,CMI,1439930,41.04,2.72,2290000000.0,7.98,2.18,9.32,8.23,143.22,25450000000.0,0.9835526315789473,25.47,18.46,-0.0001,0.00026322716504334487,0.060899999999999996,0.1454,-0.0109,0.629,3.70,18.85,16.30,1.45,2.76,1,132.66,1641518
CMS Energy Corporation Common S,CMS,1819490,15.23,3.10,2000000000.0,2.17,0.38,2.33,1.98,42.18,11960000000.0,1.0591841546805,2.59,21.60,-0.0002,-0.008648901355773786,0.0141,0.022000000000000002,-0.07519999999999999,0.1161,2.81,19.71,18.36,1.87,2.76,1,41.85,1737229
