.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,TwoHundreddayMovingAverage,Volume
Archer-Daniels-Midland Company,ADM,3113850,29.97,2.85,2540000000.0,2.84,0.68,3.08,2.16,45.25,25440000000.0,-0.016892642809513303,1.19,20.62,-0.0013336296954878923,-0.015700000000000002,0.002,-0.0698,0.23620000000000002,1.50,15.68,14.46,0.41,2.98,44.45,2137169
"Automatic Data Processing, Inc.",ADP,1785750,8.50,2.23,2730000000.0,3.66,0.70,4.04,3.72,103.06,45830000000.0,-0.020951635010769576,2.41,27.43,-0.002545525748972044,-0.009399999999999999,0.0473,-0.0296,0.2102,12.02,27.89,25.27,3.80,3.53,97.48,908733
Alliance Data Systems Corporati,ADS,577552,28.89,0.83,1460000000.0,18.51,3.76,21.19,7.34,245.73,13330000000.0,0.01974481143503204,1.10,32.47,-0.010700153436162485,-0.0301,0.046,-0.06509999999999999,0.2882,8.57,12.88,11.25,1.94,6.84,227.87,1828414
Ameren Corporation Common Stock,AEE,1426060,29.28,3.23,2300000000.0,2.77,0.61,3.01,2.68,54.77,13290000000.0,-0.003838420764028516,3.36,20.44,-0.003838420764028516,0.0003,0.0608,-0.0315,0.18359999999999999,1.87,19.78,18.20,2.26,4.71,51.65,1522709
American Electric Power Company,AEP,2312140,35.38,3.51,5290000000.0,3.65,0.90,3.88,1.24,66.66,33140000000.0,0.008592592592592485,7.68,54.22,-0.0016296296296296475,0.0109,0.0613,-0.055099999999999996,0.1641,1.91,18.46,17.32,2.03,2.21,63.50,2046600
Aetna Inc. Common Stock,AET,3018380,50.84,1.56,6200000000.0,8.88,2.40,9.80,6.41,129.47,45550000000.0,0.07919254658385078,1.09,20.21,-0.0038819875776398005,0.0004,0.0559,-0.051100000000000007,0.2384,2.53,14.59,13.22,0.72,4.42,122.66,1855803
AFLAC Incorporated Common Stock,AFL,2239650,50.47,2.36,4780000000.0,6.41,1.62,6.72,6.42,72.22,29610000000.0,-0.013732154996600854,1.66,11.49,-0.003399048266485405,0.0212,0.0415,-0.0101,0.1217,1.46,11.51,10.97,1.29,3.46,70.81,1899019
Allergan plc Ordinary Shares,AGN,3162440,212.79,1.17,6100000000.0,16.04,4.07,17.86,38.18,240.60,80160000000.0,0.11889888389138759,1.08,6.26,-0.003040146593370041,-0.0062,0.07980000000000001,-0.0848,0.29600000000000004,1.13,14.91,13.39,5.52,2.69,221.43,2432550
Apartment Investment and Manage,AIV,1017620,10.64,3.21,570960000.0,0.54,0.13,0.59,2.67,44.77,7040000000.0,0.04978884196488087,11.72,16.78,0.0002222716159145932,0.0009,0.019299999999999998,-0.0647,0.1449,4.23,82.98,75.95,7.25,3.42,43.96,920299
"Assurant, Inc. Common Stock",AIZ,381716,73.26,2.24,1040000000.0,6.21,1.58,7.17,9.13,97.33,5300000000.0,0.035846072746441804,0.57,10.43,-0.002952029520295163,-0.0218,0.0334,-0.0603,0.2139,1.29,15.33,13.28,0.70,4.78,92.13,175877
Arthur J. Gallagher & Co. Commo,AJG,876310,20.17,2.76,868800000.0,3.03,1.07,3.40,2.32,56.57,10060000000.0,0.05094071707490233,1.64,24.27,-0.004259850905218299,-0.0048,0.0664,-0.0263,0.2825,2.79,18.58,16.56,1.82,5.02,52.80,1033985
"Akamai Technologies, Inc.",AKAM,2095320,18.61,0,707980000.0,2.72,0.65,3.11,1.79,62.42,10220000000.0,0.2348316527089387,1.58,32.97,0.0018800205093145728,-0.0546,-0.077,-0.17629999999999998,0.2345,3.14,21.69,18.97,4.33,4.17,63.93,2130245
Albemarle Corporation Common St,ALB,1021030,33.73,1.21,702010000.0,4.18,1.05,4.84,5.68,102.85,11890000000.0,0.0698073621972155,2.79,18.58,-0.0028609574670989124,0.0268,0.15560000000000002,-0.0181,0.6391,3.11,25.27,21.82,4.41,3.39,91.39,646351
"Alaska Air Group, Inc. Common S",ALK,1315200,23.77,1.30,1820000000.0,7.97,2.43,8.65,6.54,94.43,10970000000.0,0.2543800539083556,1.12,13.58,-0.0028077268643306175,-0.0592,0.032799999999999996,-0.1241,0.6297999999999999,3.75,11.15,10.27,1.85,7.08,86.02,1315140
Allstate Corporation (The) Comm,ALL,1761070,51.44,1.68,3460000000.0,6.22,1.21,6.87,4.67,81.60,29640000000.0,0.054572271386430726,0.88,17.38,-0.0027040314650933484,-0.0053,0.08839999999999999,-0.0231,0.2612,1.58,13.05,11.82,0.81,2.08,74.58,1561140
Allegion plc Ordinary Shares,ALLE,730473,1.19,0.86,478900000.0,3.69,1.01,4.11,2.36,74.45,7190000000.0,0.08054140980970237,1.56,31.90,0.0013401232913428096,0.011200000000000002,0.096,-0.0158,0.2248,62.76,20.40,18.32,3.18,3.09,68.69,761355
"Alexion Pharmaceuticals, Inc.",ALXN,2005450,38.81,0,1170000000.0,5.23,1.29,6.69,1.76,124.21,26260000000.0,0.3772251085938165,1.19,66.41,-0.003066178349373949,-0.058899999999999994,-0.0662,-0.2785,0.0712,3.03,22.35,17.47,8.55,1.71,125.17,771847
"Applied Materials, Inc.",AMAT,9178810,7.12,1.03,2990000000.0,2.66,0.66,2.85,1.94,38.02,41250000000.0,0.04863612969634579,0.68,19.65,-0.004374678332475623,0.0046,0.147,-0.0404,0.963,5.46,14.36,13.40,3.54,1.37,33.30,10549694
"AMETEK, Inc.",AME,1681500,14.20,0.66,1010000000.0,2.44,0.62,2.67,2.19,54.16,12500000000.0,0.08622271142909566,2.08,24.88,-0.0018345257750871369,0.006,0.0877,-0.0178,0.259,3.84,22.33,20.41,3.26,3.04,50.10,694386
"Affiliated Managers Group, Inc.",AMG,524563,63.84,0.50,835000000.0,14.79,3.35,16.52,8.57,164.27,9220000000.0,0.21055896767789561,0.78,18.98,-0.003536199516098959,-0.01,0.0722,-0.0958,0.2463,2.52,11.00,9.84,4.16,2.48,151.68,296534
Amgen Inc.,AMGN,3843790,40.47,2.82,11940000000.0,12.29,3.10,12.73,10.24,171.37,120120000000.0,0.14128631979851347,2.02,15.93,0.0006142883469499871,-0.0482,0.0263,-0.11449999999999999,0.2205,4.02,13.27,12.85,5.21,2.93,158.93,1990300
"Ameriprise Financial, Inc. Comm",AMP,1094030,40.66,2.32,2770000000.0,10.65,2.62,12.05,7.81,130.23,19920000000.0,0.08680528716085645,0.82,16.56,-0.0067248975805828115,-0.0070999999999999995,0.1288,-0.0436,0.5226,3.18,12.14,10.73,1.70,2.26,114.55,1003737
American Tower Corporation (REI,AMT,2116380,15.84,2.03,3460000000.0,2.77,0.67,3.41,1.98,116.91,52440000000.0,0.07976812540822986,2.19,62.00,0.004653821032005068,0.0501,0.1151,-0.0132,0.231,7.73,44.32,36.00,9.04,3.46,110.09,2465194
"Amazon.com, Inc.",AMZN,3360590,40.43,0,11670000000.0,7.23,1.87,12.50,4.90,862.80,430580000000.0,0.06115496560239908,4.28,184.16,0.0,0.0458,0.109,-0.0231,0.5059,22.43,124.81,72.77,3.18,2.09,813.65,3012743
"AutoNation, Inc. Common Stock",AN,1092790,22.95,0,970700000.0,4.01,1.02,4.45,4.15,43.94,4120000000.0,0.23542435424354236,0.92,9.84,-0.0004920049200490828,-0.071,-0.1273,-0.2462,0.0432,1.77,10.18,9.17,0.19,6.75,46.77,783820
"Anthem, Inc. Common Stock",ANTM,1731080,95.17,1.56,5780000000.0,11.58,3.35,12.78,9.21,165.82,44260000000.0,0.06306736741519359,1.30,18.18,-0.0029861442904921542,0.0097,0.1417,-0.0197,0.4578,1.76,14.46,13.11,0.52,4.07,146.65,1042860
Aon plc Class A Ordinary Shares,AON,1016810,20.90,1.10,2390000000.0,6.34,1.36,7.87,5.16,117.71,31440000000.0,0.03665664662658652,2.10,23.20,-0.0045090180360721765,0.0172,0.0535,-0.005600000000000001,0.19079999999999997,5.73,18.88,15.21,2.71,1.72,113.65,795948
"Air Products and Chemicals, Inc",APD,1492680,32.91,2.81,3130000000.0,6.16,1.63,6.79,2.60,137.90,29680000000.0,0.10525928108426652,-73.07,52.53,0.00022097819681787811,-0.010700000000000001,-0.0264,-0.0933,0.0993,4.12,22.15,20.09,3.10,2.79,140.12,1003978
Amphenol Corporation Common Sto,APH,1195290,11.92,0.92,1460000000.0,2.91,0.71,3.16,2.61,70.52,21460000000.0,0.02426766226306709,3.41,26.72,-0.0020103388856979043,-0.011000000000000001,0.0274,-0.0311,0.26940000000000003,5.84,23.97,22.07,3.41,3.90,67.88,799804
"Activision Blizzard, Inc",ATVI,8127420,12.23,0.60,2140000000.0000002,1.95,0.32,2.37,1.28,48.32,36900000000.0,0.04751223491027723,1.57,38.34,-0.0028548123980424167,0.0158,0.1576,-0.0262,0.4629,4.01,25.17,20.71,5.58,2.58,42.40,3558930
"AvalonBay Communities, Inc. Com",AVB,683316,74.07,3.09,1320000000.0,4.52,1.12,4.76,7.52,183.47,25720000000.0,0.017561706912245123,8.64,24.89,0.0001070835787331248,0.0206,0.0713,-0.0262,0.1827,2.52,41.43,39.34,12.50,7.61,174.79,417979
Avery Dennison Corporation Comm,AVY,724486,10.48,2.06,740300000.0,4.44,1.20,4.87,3.54,80.26,7020000000.0,0.07904296630339469,1.72,22.51,-0.0037579857196542443,-0.0074,0.0555,-0.0297,0.16219999999999998,7.62,17.94,16.36,1.16,5.54,75.48,454818
"American Water Works Company, I",AWK,912271,29.30,1.93,1620000000.0,3.05,0.82,3.28,2.62,76.81,13950000000.0,0.019994873109459244,3.45,29.89,-0.0010253781081773772,0.0195,0.0633,-0.0814,0.1499,2.66,25.67,23.87,4.21,4.90,73.64,657348
American Express Company Common,AXP,4080600,22.68,1.62,0.00,5.64,1.42,6.26,5.65,78.99,69630000000.0,0.05303910181958971,2.11,13.67,0.0005161956381469768,-0.0219,0.0508,-0.057800000000000004,0.3519,3.42,13.70,12.34,2.34,3.84,73.53,4642341
Acuity Brands Inc (Holding Comp,AYI,862061,41.21,0.30,582300000.0,8.72,2.28,9.15,6.96,203.00,7780000000.0,0.14449294257695144,1.08,25.53,-0.013264554163596176,-0.1247,-0.2133,-0.3674,0.0481,4.28,22.24,19.42,2.25,6.01,225.85,813985
Boeing Company (The) Common Sto,BA,3378930,1.32,3.21,8680000000.0,9.30,2.34,10.21,7.61,178.58,109370000000.0,0.0008447848614552278,1.31,23.47,-0.00033791394458215773,-0.0,0.1293,-0.0384,0.4595,134.11,19.20,17.49,1.15,3.26,158.12,2266280
Bank of America Corporation Com,BAC,98421800,24.04,1.30,0.00,1.75,0.46,2.12,1.50,24.24,241040000000.0,0.1055603822762814,1.22,15.31,-0.008253692441355431,-0.054299999999999994,0.0739,-0.1116,0.9020999999999999,0.96,13.10,10.81,3.02,1.19,21.34,94206681
Baxter International Inc. Commo,BAX,2809330,15.36,0.99,1970000000.0,2.17,0.52,2.45,9.01,51.61,28610000000.0,0.01249053747161244,1.68,5.88,0.0018925056775169757,0.0263,0.105,-0.0039000000000000003,0.2579,3.44,24.41,21.62,2.81,2.80,47.94,2774515
Bed Bath & Beyond Inc.,BBBY,2303730,18.77,1.52,1430000000.0,4.34,1.02,4.37,4.58,39.58,5680000000.0,0.05713560182833932,1.44,8.56,-0.004570848146267181,-0.0096,-0.0588,-0.2248,0.051500000000000004,2.10,9.03,8.97,0.47,6.11,41.65,2407434
BB&T Corporation Common Stock,BBT,4663690,33.14,2.72,0.00,3.10,0.78,3.49,2.77,46.33,35260000000.0,0.10664535282027865,2.69,15.75,-0.005937428636675013,-0.058499999999999996,-0.0159,-0.1255,0.32789999999999997,1.32,14.07,12.50,3.46,3.09,44.33,5156560
"Best Buy Co., Inc. Common Stock",BBY,4602660,15.14,2.45,2580000000.0,3.68,0.59,3.91,3.81,45.89,15040000000.0,-0.026776519052523096,1.19,12.79,0.0006179196704427792,0.0602,0.1155,-0.0152,0.6916,3.21,13.22,12.44,0.38,6.77,43.61,2758530
"C.R. Bard, Inc. Common Stock",BCR,548755,22.98,0.42,1150000000.0,11.64,2.87,12.87,7.03,248.16,18010000000.0,-0.002881613703674124,1.88,35.56,-0.0015208516769391611,0.0074,0.0875,-0.009000000000000001,0.2303,10.87,21.48,19.42,4.85,3.21,229.88,250174
"Becton, Dickinson and Company C",BDX,885619,35.63,1.59,3260000000.0,9.44,2.47,10.40,6.01,183.60,39110000000.0,0.027331014996739844,1.92,30.59,-0.0033144968485111503,0.001,0.050300000000000004,-0.0125,0.1698,5.17,19.47,17.67,3.15,4.24,174.99,514763
"Franklin Resources, Inc. Common",BEN,2330260,21.15,1.90,2320000000.0,2.71,0.65,2.70,2.97,42.25,23180000000.0,-0.020456707897240745,-3.37,13.82,-0.008087535680304403,-0.0294,0.041100000000000005,-0.0753,0.342,1.99,15.13,15.19,3.70,3.77,39.39,4020951
Biogen Inc.,BIIB,1692310,56.23,0,6370000000.0,20.98,5.21,22.31,16.93,281.73,58020000000.0,0.16546602302265123,2.05,15.87,-0.000816932788711533,-0.0464,-0.0718,-0.1948,0.2046,4.79,12.83,12.04,5.08,1.91,289.44,1247187
Bank of New York Mellon Corpora,BK,5166670,33.67,1.61,0.00,3.47,0.85,3.89,3.15,47.39,49030000000.0,0.09796005099872507,1.21,15.00,-0.0053123671908201775,-0.0027,0.0329,-0.046,0.3231,1.40,13.62,12.15,3.20,1.48,45.75,3924370
"BlackRock, Inc. Common Stock",BLK,538713,178.38,2.59,4880000000.0,21.46,5.32,24.30,19.04,384.48,62650000000.0,0.1178315063878308,1.55,20.17,-0.005727020653554016,-0.0011,0.0258,-0.038599999999999995,0.20920000000000002,2.16,17.90,15.80,5.64,3.28,374.38,441952
Ball Corporation Common Stock,BLL,1304410,19.64,0.72,1340000000.0,4.21,1.13,4.99,1.63,73.63,12650000000.0,0.15895873719191367,1.92,44.33,-0.0018000553863195545,-0.0187,-0.0492,-0.1215,0.0702,3.68,17.16,14.48,1.40,6.47,75.99,946005
Bristol-Myers Squibb Company Co,BMY,13265200,9.68,2.92,6700000000.0,2.80,0.69,3.07,2.65,55.86,88620000000.0,0.038612933458294085,1.40,19.99,-0.0011246485473289658,-0.0516,-0.031400000000000004,-0.313,0.1515,5.51,18.92,17.26,4.59,2.81,54.70,6996461
Boston Scientific Corporation C,BSX,8109910,4.94,0,2200000000.0,1.25,0.31,1.42,0.25,24.63,33500000000.0,0.1492659053833605,1.58,98.28,-0.0016313213703099683,-0.0024,0.060899999999999996,-0.0421,0.27440000000000003,4.96,19.66,17.30,3.99,1.76,23.16,3990838
BorgWarner Inc. Common Stock,BWA,1872190,15.16,1.47,1510000000.0,3.41,0.87,3.71,0.55,41.49,8140000000.000001,0.1365789473684209,1.46,69.55,-0.001052631578947305,-0.078,-0.014499999999999999,-0.1354,0.3899,2.51,11.22,10.31,0.89,7.22,38.81,2691802
"Boston Properties, Inc. Common",BXP,762911,36.32,2.27,1530000000.0,2.41,0.63,2.93,3.26,134.27,21050000000.0,0.017323995576852047,20.77,41.97,0.00029487652045689927,0.019,0.0601,-0.0499,0.20350000000000001,3.73,56.78,46.70,8.15,2.87,129.07,637748
"Citigroup, Inc. Common Stock",C,18800700,74.26,1.07,0.00,5.17,1.30,5.90,4.72,60.01,163550000000.0,0.09210526315789469,1.58,12.51,-0.010121457489878583,-0.016200000000000003,0.0483,-0.055999999999999994,0.5409,0.80,11.42,10.01,2.60,1.35,56.31,15247753
CA Inc.,CA,2582920,13.49,3.20,1280000000.0,2.44,0.60,2.46,1.89,32.14,13370000000.0,0.030798240100565533,21.72,16.96,-0.0021998742928975856,-0.005,-0.0028000000000000004,-0.086,0.09820000000000001,2.36,13.11,13.00,3.30,6.35,32.07,1592410
"ConAgra Brands, Inc. Common Sto",CAG,3079320,9.92,1.98,1860000000.0,1.72,0.42,1.88,1.36,40.72,17230000000.0,0.054720236628050145,1.82,29.45,-0.0017254128666502888,-0.0053,0.049800000000000004,-0.1711,0.20489999999999997,4.09,23.55,21.54,1.57,1.22,38.58,2162898
"Cardinal Health, Inc. Common St",CAH,2023990,17.91,2.18,3070000000.0,5.42,1.37,5.93,4.15,81.91,25960000000.0,0.013711928164057863,1.65,19.82,-0.0004853779881081044,0.0048,0.0852,-0.0632,0.3126,4.60,15.18,13.88,0.20,5.06,75.84,1056757
D/B/A Chubb Limited New Common,CB,1308200,103.60,2.03,5690000000.0,10.35,2.54,10.98,8.87,137.49,64180000000.00001,0.03812146687925799,2.64,15.54,-0.004203507754746982,0.0023,0.0512,-0.0196,0.1813,1.33,13.31,12.55,2.04,4.06,131.08,917064
CBRE Group Inc Common Stock Cla,CBG,2370670,9.07,0,1200000000.0,2.38,0.53,2.53,1.69,35.01,11090000000.0,0.12915910465819702,1.29,19.74,-0.0015124016938899976,-0.0473,0.0706,-0.092,0.3837,3.65,14.02,13.19,0.84,4.38,31.16,2456098
"CBOE Holdings, Inc.",CBOE,1300870,3.91,1.23,357260000.0,3.17,0.81,3.68,2.27,79.76,6550000000.0,0.02120576994205403,1.34,35.50,-0.00604117864628273,0.0105,0.09539999999999998,-0.012,0.3164,20.74,25.42,21.72,10.04,1.41,73.57,1003354
CBS Corporation Class B Common,CBS,3188230,8.95,1.05,3100000000.0,4.43,1.02,5.11,2.81,67.66,27860000000.0,0.06918792143066543,0.96,24.21,-0.0010260920551157238,0.0054,0.09179999999999999,-0.029500000000000002,0.3918,7.62,15.36,13.31,2.12,2.88,62.31,1835308
Crown Castle International Corp,CCI,2016790,20.96,4.02,2069999999.9999998,1.14,0.27,1.48,0.95,92.39,34550000000.0,0.07559486207622657,3.92,100.86,0.0017898504948410388,0.0371,0.0761,-0.0681,0.2071,4.53,84.05,64.74,8.73,2.62,89.04,1860673
Carnival Corporation Common Sto,CCL,3171380,31.21,2.39,4980000000.0,3.68,2.12,4.24,4.06,57.41,41950000000.0,0.08555783709787823,1.18,14.24,0.005304585900068437,0.0064,0.09029999999999999,-0.0408,0.3456,1.87,15.70,13.63,2.57,5.89,53.00,4076237
Celgene Corporation,CELG,3884620,8.48,0,4010000000.0,7.23,1.77,8.78,2.49,123.71,97290000000.0,0.11284942820838628,0.77,50.22,-0.0018265565438373432,0.0109,0.0819,-0.0202,0.3245,14.86,17.30,14.24,8.72,2.00,115.59,3095371
Cerner Corporation,CERN,2852740,11.92,0,1320000000.0,2.50,0.62,2.76,1.85,56.79,19660000000.0,-0.009115462525320694,1.67,32.24,-0.0010128291694800895,0.0501,0.1007,-0.1164,0.2687,4.97,23.86,21.61,4.15,8.97,54.18,1944605
"Citizens Financial Group, Inc.",CFG,5154700,38.09,1.62,0.00,2.31,0.57,2.68,1.97,36.23,17500000000.0,0.1052937754508434,0.91,17.45,-0.0075625363583480265,-0.051100000000000007,0.038599999999999995,-0.1351,0.8745999999999999,0.90,14.88,12.69,3.59,1.71,33.10,4157559
"Church & Dwight Company, Inc. C",CHD,1975820,7.79,1.46,836700000.0,1.90,0.42,2.04,1.75,49.91,12730000000.0,-0.023055332798717076,3.37,28.58,-0.001202886928628799,0.002,0.0668,-0.0684,0.1752,6.40,26.32,24.51,3.64,4.92,46.88,845403
"C.H. Robinson Worldwide, Inc.",CHRW,1199730,8.90,2.33,900800000.0,3.66,0.97,3.93,3.59,78.40,10700000000.0,0.0022298006295908834,2.86,21.10,-0.007607555089191975,-0.0338,0.0174,-0.0667,0.1553,8.56,20.70,19.27,0.82,12.95,74.45,1225327
"Charter Communications, Inc.",CHTR,1448350,149.27,0,10730000000.0,0.60,1.20,8.66,15.95,325.84,89350000000.0,-0.9984911126535293,19.05,20.84,-0.0028668859582943185,0.019799999999999998,0.1268,-0.0269,0.7149,2.22,64.15,38.37,3.07,6.68,294.92,877273
Cigna Corporation Common Stock,CI,1404350,53.42,0.03,3850000000.0,9.53,2.45,10.91,7.19,150.22,38960000000.0,0.10270554242185437,1.21,21.08,-0.005319148936170248,0.009000000000000001,0.0877,-0.021099999999999997,0.3177,2.85,15.90,13.89,0.99,0.98,139.35,829400
Cincinnati Financial Corporatio,CINF,546848,42.95,2.85,913000000.0,3.01,0.57,3.11,3.55,72.89,11760000000.0,0.03312745648512072,-147.13,20.11,-0.006316676024705092,-0.020499999999999997,-0.027200000000000002,-0.10310000000000001,0.1177,1.66,23.72,22.95,2.15,8.05,73.39,376825
Clorox Company (The) Common Sto,CLX,909634,2.11,2.37,1220000000.0,5.33,1.49,5.73,4.99,136.36,17260000000.0,-0.02153915189589406,3.59,26.99,-0.0031411263181513327,-0.0134,0.0825,-0.042300000000000004,0.2094,63.49,25.24,23.52,2.92,4.63,124.28,742234
Comerica Incorporated Common St,CMA,1654950,44.47,1.35,0.00,4.07,0.98,4.80,2.68,70.24,11790000000.0,0.07651166245728702,0.75,25.02,-0.010993908780270512,-0.0455,0.054900000000000004,-0.106,0.821,1.51,16.47,13.97,4.55,3.17,63.56,1396299
Comcast Corporation,CMCSA,16509100,11.35,1.66,26480000000.0,1.88,0.47,2.17,1.78,37.48,176900000000.0,0.12715688877090514,1.71,20.86,-0.0026546323334218913,-0.0067,0.055099999999999996,-0.031400000000000004,0.2489,3.32,19.70,17.16,2.23,4.72,35.28,20042446
CME Group Inc.,CME,1549680,60.14,2.24,2450000000.0,4.86,1.24,5.30,4.53,121.46,39760000000.0,0.103851737979332,2.72,25.84,-0.0011956614569988977,-0.0361,0.0147,-0.0825,0.3086,1.95,24.09,22.09,11.06,5.16,115.37,1284998
"Chipotle Mexican Grill, Inc. Co",CMG,823797,48.67,0,204810000.0,8.14,2.41,11.76,0.77,422.88,13030000000.0,-0.10255789380998503,0.39,588.31,0.0015629127410408117,0.0712,0.1142,-0.0361,0.2834,9.33,55.65,38.52,3.35,7.04,406.55,825145
Cummins Inc. Common Stock,CMI,1197430,41.04,2.74,2310000000.0,7.98,2.20,9.35,8.23,151.31,25210000000.0,0.002212686066783043,4.39,18.28,-0.000268204371731251,-0.0055000000000000005,0.0695,-0.0323,0.42869999999999997,3.63,18.44,16.09,1.43,2.65,140.70,1449415
CMS Energy Corporation Common S,CMS,1793270,15.23,2.96,2000000000.0,2.17,0.38,2.33,1.98,44.58,12660000000.0,-0.00022104332449168762,2.79,22.88,-0.0017683465959329459,0.0161,0.0719,-0.020499999999999997,0.1681,2.97,20.88,19.44,1.98,2.00,42.26,1757266
Centene Corporation Common Stoc,CNC,1817040,34.29,0,1970000000.0,4.70,1.23,5.29,3.43,70.04,12420000000.0,0.11717988017277436,1.02,21.06,-0.0015326738191444589,0.030899999999999997,0.136,-0.0446,0.444,2.09,15.36,13.65,0.33,2.01,63.55,907133
"CenterPoint Energy, Inc (Holdin",CNP,3039630,8.03,3.84,2089999999.9999998,1.30,0.21,1.38,1.00,27.59,12020000000.0,-0.03321428571428575,3.54,27.91,-0.001071428571428612,0.011699999999999999,0.11289999999999999,-0.0096,0.3641,3.49,21.47,20.22,1.60,3.86,25.08,2883229
Capital One Financial Corporati,COF,2565870,98.96,1.92,0.00,7.88,1.94,8.87,6.89,88.71,39900000000.0,0.20430107526881724,1.50,12.05,-0.0044702186782649145,-0.0633,-0.0143,-0.1427,0.43200000000000005,0.84,10.54,9.40,2.09,3.27,84.30,2351190
"Coach, Inc. Common Stock",COH,3537940,10.02,3.41,898900000.0,2.15,0.50,2.35,1.82,39.25,11240000000.0,0.08657243816254412,1.86,21.99,-0.0007571933366984362,0.0207,0.07719999999999999,-0.08349999999999999,0.17579999999999998,3.95,18.63,17.05,2.45,3.09,37.19,2082097
"Rockwell Collins, Inc. Common S",COL,1366470,16.85,1.33,1220000000.0,5.40,1.38,5.86,5.59,97.46,13000000000.0,0.05361470113085609,2.22,17.76,0.0014135702746365109,0.0194,0.0891,-0.0089,0.265,5.88,18.40,16.87,2.45,6.99,91.22,844005
"Cooper Companies, Inc. (The) Co",COO,402819,57.61,0.03,618150000.0,9.25,2.53,10.35,6.07,197.12,9660000000.0,0.06744823386114507,1.64,32.53,-0.004161591555014166,0.0014000000000000002,0.079,-0.026099999999999998,0.2979,3.42,21.34,19.07,4.78,2.56,182.94,280162
